n,max,ex_inf,ex inf and x=1
1000000,inf,169736952523.53592,1.0000136945544524
100000,inf,1697475139812.4595,1.000120139086879
10000,inf,16985459473596.047,1.0012017366079986
1000,inf,170929293765650.3,1.0120510744605644
100,inf,1820743434129573.2,1.1239391117219626
10,inf,3.4304573703606024e+16,2.6388761788038924
