x,u(x)
8.00800800800801e-02,4.70954270392177e-01
8.10810810810811e-02,4.74425083312249e-01
8.20820820820821e-02,4.77851357075720e-01
8.30830830830831e-02,4.81233535296004e-01
8.40840840840841e-02,4.84572057168088e-01
8.50850850850851e-02,4.87867357512544e-01
8.60860860860861e-02,4.91119866819100e-01
8.70870870870871e-02,4.94330011289771e-01
8.80880880880881e-02,4.97498212881567e-01
8.90890890890891e-02,5.00624889348776e-01
9.00900900900901e-02,5.03710454284820e-01
9.10910910910911e-02,5.06755317163698e-01
9.20920920920921e-02,5.09759883381019e-01
9.30930930930931e-02,5.12724554294618e-01
9.40940940940941e-02,5.15649727264778e-01
9.50950950950951e-02,5.18535795694039e-01
9.60960960960961e-02,5.21383149066627e-01
9.70970970970971e-02,5.24192172987471e-01
9.80980980980981e-02,5.26963249220846e-01
9.90990990990991e-02,5.29696755728628e-01
1.00100100100100e-01,5.32393066708161e-01
1.01101101101101e-01,5.35052552629757e-01
1.02102102102102e-01,5.37675580273813e-01
1.03103103103103e-01,5.40262512767567e-01
1.04104104104104e-01,5.42813709621481e-01
1.05105105105105e-01,5.45329526765266e-01
1.06106106106106e-01,5.47810316583545e-01
1.07107107107107e-01,5.50256427951163e-01
1.08108108108108e-01,5.52668206268146e-01
1.09109109109109e-01,5.55045993494309e-01
1.10110110110110e-01,5.57390128183519e-01
1.11111111111111e-01,5.59700945517624e-01
1.12112112112112e-01,5.61978777340032e-01
1.13113113113113e-01,5.64223952188966e-01
1.14114114114114e-01,5.66436795330386e-01
1.15115115115115e-01,5.68617628790574e-01
1.16116116116116e-01,5.70766771388408e-01
1.17117117117117e-01,5.72884538767304e-01
1.18118118118118e-01,5.74971243426847e-01
1.19119119119119e-01,5.77027194754101e-01
1.20120120120120e-01,5.79052699054613e-01
1.21121121121121e-01,5.81048059583100e-01
1.22122122122122e-01,5.83013576573842e-01
1.23123123123123e-01,5.84949547270761e-01
1.24124124124124e-01,5.86856265957206e-01
1.25125125125125e-01,5.88734023985443e-01
1.26126126126126e-01,5.90583109805848e-01
1.27127127127127e-01,5.92403808995805e-01
1.28128128128128e-01,5.94196404288329e-01
1.29129129129129e-01,5.95961175600392e-01
1.30130130130130e-01,5.97698400060970e-01
1.31131131131131e-01,5.99408352038815e-01
1.32132132132132e-01,6.01091303169944e-01
1.33133133133133e-01,6.02747522384859e-01
1.34134134134134e-01,6.04377275935494e-01
1.35135135135135e-01,6.05980827421891e-01
1.36136136136136e-01,6.07558437818619e-01
1.37137137137137e-01,6.09110365500917e-01
1.38138138138138e-01,6.10636866270589e-01
1.39139139139139e-01,6.12138193381633e-01
1.40140140140140e-01,6.13614597565618e-01
1.41141141141141e-01,6.15066327056805e-01
1.42142142142142e-01,6.16493627617025e-01
1.43143143143143e-01,6.17896742560303e-01
1.44144144144144e-01,6.19275912777237e-01
1.45145145145145e-01,6.20631376759134e-01
1.46146146146146e-01,6.21963370621913e-01
1.47147147147147e-01,6.23272128129756e-01
1.48148148148148e-01,6.24557880718541e-01
1.49149149149149e-01,6.25820857519022e-01
1.50150150150150e-01,6.27061285379797e-01
1.51151151151151e-01,6.28279388890033e-01
1.52152152152152e-01,6.29475390401970e-01
1.53153153153153e-01,6.30649510053205e-01
1.54154154154154e-01,6.31801965788748e-01
1.55155155155155e-01,6.32932973382858e-01
1.56156156156156e-01,6.34042746460667e-01
1.57157157157157e-01,6.35131496519584e-01
1.58158158158158e-01,6.36199432950488e-01
1.59159159159159e-01,6.37246763058708e-01
1.60160160160160e-01,6.38273692084797e-01
1.61161161161161e-01,6.39280423225096e-01
1.62162162162162e-01,6.40267157652095e-01
1.63163163163163e-01,6.41234094534590e-01
1.64164164164164e-01,6.42181431057641e-01
1.65165165165165e-01,6.43109362442330e-01
1.66166166166166e-01,6.44018081965322e-01
1.67167167167167e-01,6.44907780978230e-01
1.68168168168168e-01,6.45778648926792e-01
1.69169169169169e-01,6.46630873369853e-01
1.70170170170170e-01,6.47464639998155e-01
1.71171171171171e-01,6.48280132652946e-01
1.72172172172172e-01,6.49077533344404e-01
1.73173173173173e-01,6.49857022269869e-01
1.74174174174174e-01,6.50618777831902e-01
1.75175175175175e-01,6.51362976656162e-01
1.76176176176176e-01,6.52089793609103e-01
1.77177177177177e-01,6.52799401815493e-01
1.78178178178178e-01,6.53491972675767e-01
1.79179179179179e-01,6.54167675883198e-01
1.80180180180180e-01,6.54826679440901e-01
1.81181181181181e-01,6.55469149678665e-01
1.82182182182182e-01,6.56095251269624e-01
1.83183183183183e-01,6.56705147246754e-01
1.84184184184184e-01,6.57298999019211e-01
1.85185185185185e-01,6.57876966388502e-01
1.86186186186186e-01,6.58439207564499e-01
1.87187187187187e-01,6.58985879181293e-01
1.88188188188188e-01,6.59517136312886e-01
1.89189189189189e-01,6.60033132488732e-01
1.90190190190190e-01,6.60534019709118e-01
1.91191191191191e-01,6.61019948460399e-01
1.92192192192192e-01,6.61491067730074e-01
1.93193193193193e-01,6.61947525021712e-01
1.94194194194194e-01,6.62389466369740e-01
1.95195195195195e-01,6.62817036354067e-01
1.96196196196196e-01,6.63230378114576e-01
1.97197197197197e-01,6.63629633365468e-01
1.98198198198198e-01,6.64014942409457e-01
1.99199199199199e-01,6.64386444151831e-01
2.00200200200200e-01,6.64744276114374e-01
2.01201201201201e-01,6.65088574449139e-01
2.02202202202202e-01,6.65419473952096e-01
2.03203203203203e-01,6.65737108076636e-01
2.04204204204204e-01,6.66041608946945e-01
2.05205205205205e-01,6.66333107371240e-01
2.06206206206206e-01,6.66611732854880e-01
2.07207207207207e-01,6.66877613613341e-01
2.08208208208208e-01,6.67130876585061e-01
2.09209209209209e-01,6.67371647444162e-01
2.10210210210210e-01,6.67600050613045e-01
