x,v(x)
0.00000000000000e+00,9.00334591766152e-04
1.00010001000100e-04,1.79966918353231e-03
2.00020002000200e-04,2.69800477489853e-03
3.00030003000300e-04,3.59534236446572e-03
4.00040004000400e-04,4.49168294983653e-03
5.00050005000500e-04,5.38702752761644e-03
6.00060006000600e-04,6.28137709341471e-03
7.00070007000700e-04,7.17473264184540e-03
8.00080008000800e-04,8.06709516652834e-03
9.00090009000900e-04,8.95846566009014e-03
1.00010001000100e-03,9.84884511416521e-03
1.10011001100110e-03,1.07382345193967e-02
1.20012001200120e-03,1.16266348654374e-02
1.30013001300130e-03,1.25140471409511e-02
1.40014001400140e-03,1.34004723336131e-02
1.50015001500150e-03,1.42859114301116e-02
1.60016001600160e-03,1.51703654161482e-02
1.70017001700170e-03,1.60538352764396e-02
1.80018001800180e-03,1.69363219947178e-02
1.90019001900190e-03,1.78178265537317e-02
2.00020002000200e-03,1.86983499352478e-02
2.10021002100210e-03,1.95778931200512e-02
2.20022002200220e-03,2.04564570879466e-02
2.30023002300230e-03,2.13340428177593e-02
2.40024002400240e-03,2.22106512873361e-02
2.50025002500250e-03,2.30862834735465e-02
2.60026002600260e-03,2.39609403522834e-02
2.70027002700270e-03,2.48346228984642e-02
2.80028002800280e-03,2.57073320860318e-02
2.90029002900290e-03,2.65790688879556e-02
3.00030003000300e-03,2.74498342762323e-02
3.10031003100310e-03,2.83196292218870e-02
3.20032003200320e-03,2.91884546949744e-02
3.30033003300330e-03,3.00563116645792e-02
3.40034003400340e-03,3.09232010988176e-02
3.50035003500350e-03,3.17891239648380e-02
3.60036003600360e-03,3.26540812288222e-02
3.70037003700370e-03,3.35180738559859e-02
3.80038003800380e-03,3.43811028105801e-02
3.90039003900390e-03,3.52431690558922e-02
4.00040004000400e-03,3.61042735542463e-02
4.10041004100410e-03,3.69644172670049e-02
4.20042004200420e-03,3.78236011545691e-02
4.30043004300430e-03,3.86818261763804e-02
4.40044004400440e-03,3.95390932909211e-02
4.50045004500450e-03,4.03954034557153e-02
4.60046004600460e-03,4.12507576273301e-02
4.70047004700470e-03,4.21051567613763e-02
4.80048004800480e-03,4.29586018125096e-02
4.90049004900490e-03,4.38110937344313e-02
5.00050005000500e-03,4.46626334798894e-02
5.10051005100510e-03,4.55132220006797e-02
5.20052005200520e-03,4.63628602476463e-02
5.30053005300530e-03,4.72115491706830e-02
5.40054005400540e-03,4.80592897187342e-02
5.50055005500550e-03,4.89060828397955e-02
5.60056005600560e-03,4.97519294809150e-02
5.70057005700570e-03,5.05968305881942e-02
5.80058005800580e-03,5.14407871067887e-02
5.90059005900590e-03,5.22837999809094e-02
6.00060006000600e-03,5.31258701538235e-02
6.10061006100610e-03,5.39669985678552e-02
6.20062006200620e-03,5.48071861643867e-02
6.30063006300630e-03,5.56464338838592e-02
6.40064006400640e-03,5.64847426657739e-02
6.50065006500650e-03,5.73221134486929e-02
6.60066006600660e-03,5.81585471702401e-02
6.70067006700670e-03,5.89940447671020e-02
6.80068006800680e-03,5.98286071750291e-02
6.90069006900690e-03,6.06622353288361e-02
7.00070007000700e-03,6.14949301624036e-02
7.10071007100710e-03,6.23266926086786e-02
7.20072007200720e-03,6.31575235996755e-02
7.30073007300730e-03,6.39874240664771e-02
7.40074007400740e-03,6.48163949392353e-02
7.50075007500750e-03,6.56444371471726e-02
7.60076007600760e-03,6.64715516185823e-02
7.70077007700770e-03,6.72977392808299e-02
7.80078007800780e-03,6.81230010603539e-02
7.90079007900790e-03,6.89473378826668e-02
8.00080008000800e-03,6.97707506723559e-02
8.10081008100810e-03,7.05932403530842e-02
8.20082008200820e-03,7.14148078475916e-02
8.30083008300830e-03,7.22354540776954e-02
8.40084008400840e-03,7.30551799642917e-02
8.50085008500850e-03,7.38739864273558e-02
8.60086008600860e-03,7.46918743859437e-02
8.70087008700870e-03,7.55088447581923e-02
8.80088008800880e-03,7.63248984613212e-02
8.90089008900890e-03,7.71400364116329e-02
9.00090009000900e-03,7.79542595245139e-02
9.10091009100910e-03,7.87675687144357e-02
9.20092009200920e-03,7.95799648949560e-02
9.30093009300930e-03,8.03914489787188e-02
9.40094009400940e-03,8.12020218774563e-02
9.50095009500950e-03,8.20116845019890e-02
9.60096009600960e-03,8.28204377622271e-02
9.70097009700970e-03,8.36282825671712e-02
9.80098009800980e-03,8.44352198249133e-02
9.90099009900990e-03,8.52412504426377e-02
1.00010001000100e-02,8.60463753266218e-02
1.01010101010101e-02,8.68505953822370e-02
