x,v(x)
0.00000000000000e+00,9.03310250491520e-03
1.00100100100100e-03,1.79662050098304e-02
2.00200200200200e-03,2.68003035224066e-02
3.00300300300300e-03,3.55363841299922e-02
4.00400400400400e-03,4.41754230984300e-02
5.00500500500500e-03,5.27183869698804e-02
6.00600600600601e-03,6.11662326596695e-02
7.00700700700701e-03,6.95199075521739e-02
8.00800800800801e-03,7.77803495957487e-02
9.00900900900901e-03,8.59484873967121e-02
1.00100100100100e-02,9.40252403123917e-02
1.10110110110110e-02,1.02011518543246e-01
1.20120120120120e-02,1.09908223224067e-01
1.30130130130130e-02,1.17716246514276e-01
1.40140140140140e-02,1.25436471687316e-01
1.50150150150150e-02,1.33069773219161e-01
1.60160160160160e-02,1.40617016875937e-01
1.70170170170170e-02,1.48079059800672e-01
1.80180180180180e-02,1.55456750599184e-01
1.90190190190190e-02,1.62750929425113e-01
2.00200200200200e-02,1.69962428064104e-01
2.10210210210210e-02,1.77092070017152e-01
2.20220220220220e-02,1.84140670583122e-01
2.30230230230230e-02,1.91109036940435e-01
2.40240240240240e-02,1.97997968227958e-01
2.50250250250250e-02,2.04808255625072e-01
2.60260260260260e-02,2.11540682430948e-01
2.70270270270270e-02,2.18196024143042e-01
2.80280280280280e-02,2.24775048534793e-01
2.90290290290290e-02,2.31278515732558e-01
3.00300300300300e-02,2.37707178291777e-01
3.10310310310310e-02,2.44061781272381e-01
3.20320320320320e-02,2.50343062313448e-01
3.30330330330330e-02,2.56551751707111e-01
3.40340340340340e-02,2.62688572471740e-01
3.50350350350350e-02,2.68754240424387e-01
3.60360360360360e-02,2.74749464252510e-01
3.70370370370370e-02,2.80674945584985e-01
3.80380380380380e-02,2.86531379062412e-01
3.90390390390390e-02,2.92319452406718e-01
4.00400400400400e-02,2.98039846490065e-01
4.10410410410410e-02,3.03693235403078e-01
4.20420420420420e-02,3.09280286522386e-01
4.30430430430430e-02,3.14801660577496e-01
4.40440440440440e-02,3.20258011717000e-01
4.50450450450450e-02,3.25649987574118e-01
4.60460460460460e-02,3.30978229331594e-01
4.70470470470470e-02,3.36243371785945e-01
4.80480480480480e-02,3.41446043411062e-01
4.90490490490490e-02,3.46586866421192e-01
5.00500500500500e-02,3.51666456833277e-01
5.10510510510511e-02,3.56685424528685e-01
5.20520520520521e-02,3.61644373314318e-01
5.30530530530531e-02,3.66543900983117e-01
5.40540540540541e-02,3.71384599373956e-01
5.50550550550551e-02,3.76167054430951e-01
5.60560560560561e-02,3.80891846262170e-01
5.70570570570571e-02,3.85559549197758e-01
5.80580580580581e-02,3.90170731847490e-01
5.90590590590591e-02,3.94725957157742e-01
6.00600600600601e-02,3.99225782467904e-01
6.10610610610611e-02,4.03670759566219e-01
6.20620620620621e-02,4.08061434745080e-01
6.30630630630631e-02,4.12398348855766e-01
6.40640640640641e-02,4.16682037362632e-01
6.50650650650651e-02,4.20913030396772e-01
6.60660660660661e-02,4.25091852809130e-01
6.70670670670671e-02,4.29219024223096e-01
6.80680680680681e-02,4.33295059086571e-01
6.90690690690691e-02,4.37320466723516e-01
7.00700700700701e-02,4.41295751384986e-01
7.10710710710711e-02,4.45221412299655e-01
7.20720720720721e-02,4.49097943723844e-01
7.30730730730731e-02,4.52925834991042e-01
7.40740740740741e-02,4.56705570560939e-01
7.50750750750751e-02,4.60437630067969e-01
7.60760760760761e-02,4.64122488369370e-01
7.70770770770771e-02,4.67760615592768e-01
7.80780780780781e-02,4.71352477183278e-01
7.90790790790791e-02,4.74898533950149e-01
8.00800800800801e-02,4.78399242112934e-01
8.10810810810811e-02,4.81855053347202e-01
8.20820820820821e-02,4.85266414829803e-01
8.30830830830831e-02,4.88633769283667e-01
8.40840840840841e-02,4.91957555022173e-01
8.50850850850851e-02,4.95238205993062e-01
8.60860860860861e-02,4.98476151821926e-01
8.70870870870871e-02,5.01671817855250e-01
8.80880880880881e-02,5.04825625203037e-01
8.90890890890891e-02,5.07937990781001e-01
9.00900900900901e-02,5.11009327352346e-01
9.10910910910911e-02,5.14040043569120e-01
9.20920920920921e-02,5.17030544013166e-01
9.30930930930931e-02,5.19981229236662e-01
9.40940940940941e-02,5.22892495802255e-01
9.50950950950951e-02,5.25764736322797e-01
9.60960960960961e-02,5.28598339500688e-01
9.70970970970971e-02,5.31393690166818e-01
9.80980980980981e-02,5.34151169319138e-01
9.90990990990991e-02,5.36871154160824e-01
1.00100100100100e-01,5.39554018138084e-01
1.01101101101101e-01,5.42200130977571e-01
1.02102102102102e-01,5.44809858723433e-01
1.03103103103103e-01,5.47383563773989e-01
1.04104104104104e-01,5.49921604918046e-01
1.05105105105105e-01,5.52424337370842e-01
1.06106106106106e-01,5.54892112809650e-01
1.07107107107107e-01,5.57325279409005e-01
1.08108108108108e-01,5.59724181875601e-01
1.09109109109109e-01,5.62089161482824e-01
1.10110110110110e-01,5.64420556104954e-01
1.11111111111111e-01,5.66718700251013e-01
1.12112112112112e-01,5.68983925098292e-01
1.13113113113113e-01,5.71216558525527e-01
1.14114114114114e-01,5.73416925145760e-01
1.15115115115115e-01,5.75585346338861e-01
1.16116116116116e-01,5.77722140283730e-01
1.17117117117117e-01,5.79827621990183e-01
1.18118118118118e-01,5.81902103330514e-01
1.19119119119119e-01,5.83945893070744e-01
1.20120120120120e-01,5.85959296901561e-01
1.21121121121121e-01,5.87942617468951e-01
1.22122122122122e-01,5.89896154404523e-01
1.23123123123123e-01,5.91820204355530e-01
1.24124124124124e-01,5.93715061014599e-01
1.25125125125125e-01,5.95581015149153e-01
1.26126126126126e-01,5.97418354630551e-01
1.27127127127127e-01,5.99227364462931e-01
1.28128128128128e-01,6.01008326811767e-01
