x,v(x)
0.00000000000000e+00,1.28871445345825e+00
1.11111111111111e-01,1.57742890691649e+00
2.22222222222222e-01,1.53695037256684e+00
3.33333333333333e-01,1.38810381499528e+00
4.44444444444444e-01,1.20358326407647e+00
5.55555555555556e-01,1.00731908470065e+00
6.66666666666667e-01,8.07188985185344e-01
7.77777777777778e-01,6.05786251868703e-01
8.88888888888889e-01,4.03964576428614e-01
1.00000000000000e+00,2.02004988179188e-01
