x,v(x)
0.00000000000000e+00,9.06337997429692e-04
1.00010001000100e-04,1.81167599485938e-03
2.00020002000200e-04,2.71601499188915e-03
3.00030003000300e-04,3.61935598711987e-03
4.00040004000400e-04,4.52169997815422e-03
5.00050005000500e-04,5.42304796159767e-03
6.00060006000600e-04,6.32340093305948e-03
7.00070007000700e-04,7.22275988715371e-03
8.00080008000800e-04,8.12112581750019e-03
9.00090009000900e-04,9.01849971672554e-03
1.00010001000100e-03,9.91488257646414e-03
1.10011001100110e-03,1.08102753873591e-02
1.20012001200120e-03,1.17046791390634e-02
1.30013001300130e-03,1.25980948202407e-02
1.40014001400140e-03,1.34905234185662e-02
1.50015001500150e-03,1.43819659207282e-02
1.60016001600160e-03,1.52724233124284e-02
1.70017001700170e-03,1.61618965783833e-02
1.80018001800180e-03,1.70503867023250e-02
1.90019001900190e-03,1.79378946670025e-02
2.00020002000200e-03,1.88244214541822e-02
2.10021002100210e-03,1.97099680446491e-02
2.20022002200220e-03,2.05945354182080e-02
2.30023002300230e-03,2.14781245536842e-02
2.40024002400240e-03,2.23607364289246e-02
2.50025002500250e-03,2.32423720207986e-02
2.60026002600260e-03,2.41230323051990e-02
2.70027002700270e-03,2.50027182570433e-02
2.80028002800280e-03,2.58814308502745e-02
2.90029002900290e-03,2.67591710578618e-02
3.00030003000300e-03,2.76359398518020e-02
3.10031003100310e-03,2.85117382031203e-02
3.20032003200320e-03,2.93865670818712e-02
3.30033003300330e-03,3.02604274571395e-02
3.40034003400340e-03,3.11333202970415e-02
3.50035003500350e-03,3.20052465687255e-02
3.60036003600360e-03,3.28762072383731e-02
3.70037003700370e-03,3.37462032712004e-02
3.80038003800380e-03,3.46152356314582e-02
3.90039003900390e-03,3.54833052824338e-02
4.00040004000400e-03,3.63504131864515e-02
4.10041004100410e-03,3.72165603048735e-02
4.20042004200420e-03,3.80817475981013e-02
4.30043004300430e-03,3.89459760255762e-02
4.40044004400440e-03,3.98092465457804e-02
4.50045004500450e-03,4.06715601162381e-02
4.60046004600460e-03,4.15329176935165e-02
4.70047004700470e-03,4.23933202332262e-02
4.80048004800480e-03,4.32527686900230e-02
4.90049004900490e-03,4.41112640176083e-02
5.00050005000500e-03,4.49688071687299e-02
5.10051005100510e-03,4.58253990951837e-02
5.20052005200520e-03,4.66810407478139e-02
5.30053005300530e-03,4.75357330765142e-02
5.40054005400540e-03,4.83894770302289e-02
5.50055005500550e-03,4.92422735569537e-02
5.60056005600560e-03,5.00941236037368e-02
5.70057005700570e-03,5.09450281166795e-02
5.80058005800580e-03,5.17949880409375e-02
5.90059005900590e-03,5.26440043207218e-02
6.00060006000600e-03,5.34920778992995e-02
6.10061006100610e-03,5.43392097189947e-02
6.20062006200620e-03,5.51854007211897e-02
6.30063006300630e-03,5.60306518463257e-02
6.40064006400640e-03,5.68749640339040e-02
6.50065006500650e-03,5.77183382224865e-02
6.60066006600660e-03,5.85607753496972e-02
6.70067006700670e-03,5.94022763522227e-02
6.80068006800680e-03,6.02428421658133e-02
6.90069006900690e-03,6.10824737252839e-02
7.00070007000700e-03,6.19211719645149e-02
7.10071007100710e-03,6.27589378164535e-02
7.20072007200720e-03,6.35957722131139e-02
7.30073007300730e-03,6.44316760855790e-02
7.40074007400740e-03,6.52666503640008e-02
7.50075007500750e-03,6.61006959776016e-02
7.60076007600760e-03,6.69338138546748e-02
7.70077007700770e-03,6.77660049225860e-02
7.80078007800780e-03,6.85972701077735e-02
7.90079007900790e-03,6.94276103357500e-02
8.00080008000800e-03,7.02570265311026e-02
8.10081008100810e-03,7.10855196174945e-02
8.20082008200820e-03,7.19130905176654e-02
8.30083008300830e-03,7.27397401534328e-02
8.40084008400840e-03,7.35654694456926e-02
8.50085008500850e-03,7.43902793144203e-02
8.60086008600860e-03,7.52141706786716e-02
8.70087008700870e-03,7.60371444565838e-02
8.80088008800880e-03,7.68592015653763e-02
8.90089008900890e-03,7.76803429213515e-02
9.00090009000900e-03,7.85005694398960e-02
9.10091009100910e-03,7.93198820354814e-02
9.20092009200920e-03,8.01382816216652e-02
9.30093009300930e-03,8.09557691110916e-02
9.40094009400940e-03,8.17723454154926e-02
9.50095009500950e-03,8.25880114456888e-02
9.60096009600960e-03,8.34027681115905e-02
9.70097009700970e-03,8.42166163221981e-02
9.80098009800980e-03,8.50295569856038e-02
9.90099009900990e-03,8.58415910089917e-02
1.00010001000100e-02,8.66527192986393e-02
1.01010101010101e-02,8.74629427599180e-02
1.02010201020102e-02,8.82722622972945e-02
1.03010301030103e-02,8.90806788143311e-02
1.04010401040104e-02,8.98881932136870e-02
1.05010501050105e-02,9.06948063971191e-02
1.06010601060106e-02,9.15005192654829e-02
1.07010701070107e-02,9.23053327187335e-02
1.08010801080108e-02,9.31092476559262e-02
1.09010901090109e-02,9.39122649752177e-02
1.10011001100110e-02,9.47143855738671e-02
1.11011101110111e-02,9.55156103482363e-02
1.12011201120112e-02,9.63159401937912e-02
1.13011301130113e-02,9.71153760051030e-02
1.14011401140114e-02,9.79139186758482e-02
1.15011501150115e-02,9.87115690988102e-02
1.16011601160116e-02,9.95083281658800e-02
1.17011701170117e-02,1.00304196768057e-01
1.18011801180118e-02,1.01099175795450e-01
1.19011901190119e-02,1.01893266137278e-01
1.20012001200120e-02,1.02686468681871e-01
1.21012101210121e-02,1.03478784316671e-01
1.22012201220122e-02,1.04270213928234e-01
1.23012301230123e-02,1.05060758402228e-01
1.24012401240124e-02,1.05850418623437e-01
1.25012501250125e-02,1.06639195475760e-01
1.26012601260126e-02,1.07427089842213e-01
1.27012701270127e-02,1.08214102604928e-01
1.28012801280128e-02,1.09000234645158e-01
1.29012901290129e-02,1.09785486843271e-01
1.30013001300130e-02,1.10569860078758e-01
1.31013101310131e-02,1.11353355230231e-01
1.32013201320132e-02,1.12135973175422e-01
1.33013301330133e-02,1.12917714791187e-01
1.34013401340134e-02,1.13698580953504e-01
1.35013501350135e-02,1.14478572537478e-01
1.36013601360136e-02,1.15257690417336e-01
1.37013701370137e-02,1.16035935466433e-01
1.38013801380138e-02,1.16813308557251e-01
1.39013901390139e-02,1.17589810561400e-01
1.40014001400140e-02,1.18365442349617e-01
1.41014101410141e-02,1.19140204791772e-01
1.42014201420142e-02,1.19914098756861e-01
1.43014301430143e-02,1.20687125113015e-01
1.44014401440144e-02,1.21459284727497e-01
1.45014501450145e-02,1.22230578466700e-01
1.46014601460146e-02,1.23001007196154e-01
1.47014701470147e-02,1.23770571780522e-01
1.48014801480148e-02,1.24539273083605e-01
1.49014901490149e-02,1.25307111968338e-01
1.50015001500150e-02,1.26074089296795e-01
1.51015101510151e-02,1.26840205930187e-01
1.52015201520152e-02,1.27605462728865e-01
1.53015301530153e-02,1.28369860552321e-01
1.54015401540154e-02,1.29133400259185e-01
1.55015501550155e-02,1.29896082707231e-01
1.56015601560156e-02,1.30657908753376e-01
1.57015701570157e-02,1.31418879253678e-01
1.58015801580158e-02,1.32178995063341e-01
1.59015901590159e-02,1.32938257036715e-01
1.60016001600160e-02,1.33696666027293e-01
1.61016101610161e-02,1.34454222887718e-01
1.62016201620162e-02,1.35210928469779e-01
1.63016301630163e-02,1.35966783624414e-01
1.64016401640164e-02,1.36721789201710e-01
1.65016501650165e-02,1.37475946050905e-01
1.66016601660166e-02,1.38229255020387e-01
1.67016701670167e-02,1.38981716957697e-01
1.68016801680168e-02,1.39733332709529e-01
1.69016901690169e-02,1.40484103121729e-01
1.70017001700170e-02,1.41234029039300e-01
1.71017101710171e-02,1.41983111306397e-01
