x,v(x)
0.00000000000000e+00,9.03812948296915e-03
1.00100100100100e-03,1.79762589659383e-02
2.00200200200200e-03,2.68153844565684e-02
3.00300300300300e-03,3.55564920422080e-02
4.00400400400400e-03,4.42005579886997e-02
5.00500500500500e-03,5.27485488382040e-02
6.00600600600601e-03,6.12014215060471e-02
7.00700700700701e-03,6.95601233766054e-02
8.00800800800801e-03,7.78255923982342e-02
9.00900900900901e-03,8.59987571772515e-02
1.00100100100100e-02,9.40805370709850e-02
1.10110110110110e-02,1.02071842279893e-01
1.20120120120120e-02,1.09973573938768e-01
1.30130130130130e-02,1.17786624207031e-01
1.40140140140140e-02,1.25511876358125e-01
1.50150150150150e-02,1.33150204868024e-01
1.60160160160160e-02,1.40702475502854e-01
1.70170170170170e-02,1.48169545405643e-01
1.80180180180180e-02,1.55552263182209e-01
1.90190190190190e-02,1.62851468986192e-01
2.00200200200200e-02,1.70067994603237e-01
2.10210210210210e-02,1.77202663534339e-01
2.20220220220220e-02,1.84256291078362e-01
2.30230230230230e-02,1.91229684413730e-01
2.40240240240240e-02,1.98123642679307e-01
2.50250250250250e-02,2.04938957054474e-01
2.60260260260260e-02,2.11676410838405e-01
2.70270270270270e-02,2.18336779528553e-01
2.80280280280280e-02,2.24920830898357e-01
2.90290290290290e-02,2.31429325074176e-01
3.00300300300300e-02,2.37863014611449e-01
3.10310310310310e-02,2.44222644570107e-01
3.20320320320320e-02,2.50508952589228e-01
3.30330330330330e-02,2.56722668960945e-01
3.40340340340340e-02,2.62864516703628e-01
3.50350350350350e-02,2.68935211634329e-01
3.60360360360360e-02,2.74935462440506e-01
3.70370370370370e-02,2.80865970751035e-01
3.80380380380380e-02,2.86727431206516e-01
3.90390390390390e-02,2.92520531528876e-01
4.00400400400400e-02,2.98245952590277e-01
4.10410410410410e-02,3.03904368481344e-01
4.20420420420420e-02,3.09496446578705e-01
4.30430430430430e-02,3.15022847611870e-01
4.40440440440440e-02,3.20484225729427e-01
4.50450450450450e-02,3.25881228564599e-01
4.60460460460460e-02,3.31214497300130e-01
4.70470470470470e-02,3.36484666732534e-01
4.80480480480480e-02,3.41692365335706e-01
4.90490490490490e-02,3.46838215323889e-01
5.00500500500500e-02,3.51922832714028e-01
5.10510510510511e-02,3.56946827387490e-01
5.20520520520521e-02,3.61910803151177e-01
5.30530530530531e-02,3.66815357798030e-01
5.40540540540541e-02,3.71661083166923e-01
5.50550550550551e-02,3.76448565201972e-01
5.60560560560561e-02,3.81178384011245e-01
5.70570570570571e-02,3.85851113924887e-01
5.80580580580581e-02,3.90467323552673e-01
5.90590590590591e-02,3.95027575840979e-01
6.00600600600601e-02,3.99532428129195e-01
6.10610610610611e-02,4.03982432205564e-01
6.20620620620621e-02,4.08378134362479e-01
6.30630630630631e-02,4.12720075451218e-01
6.40640640640641e-02,4.17008790936139e-01
6.50650650650651e-02,4.21244810948332e-01
6.60660660660661e-02,4.25428660338744e-01
6.70670670670671e-02,4.29560858730764e-01
6.80680680680681e-02,4.33641920572294e-01
6.90690690690691e-02,4.37672355187293e-01
7.00700700700701e-02,4.41652666826816e-01
7.10710710710711e-02,4.45583354719539e-01
7.20720720720721e-02,4.49464913121782e-01
7.30730730730731e-02,4.53297831367034e-01
7.40740740740741e-02,4.57082593914985e-01
7.50750750750751e-02,4.60819680400069e-01
7.60760760760761e-02,4.64509565679524e-01
7.70770770770771e-02,4.68152719880976e-01
7.80780780780781e-02,4.71749608449540e-01
7.90790790790791e-02,4.75300692194465e-01
8.00800800800801e-02,4.78806427335303e-01
8.10810810810811e-02,4.82267265547626e-01
8.20820820820821e-02,4.85683654008281e-01
8.30830830830831e-02,4.89056035440199e-01
8.40840840840841e-02,4.92384848156758e-01
8.50850850850851e-02,4.95670526105702e-01
8.60860860860861e-02,4.98913498912619e-01
8.70870870870871e-02,5.02114191923997e-01
8.80880880880881e-02,5.05273026249838e-01
8.90890890890891e-02,5.08390418805857e-01
9.00900900900901e-02,5.11466782355255e-01
9.10910910910911e-02,5.14502525550083e-01
9.20920920920921e-02,5.17498052972183e-01
9.30930930930931e-02,5.20453765173733e-01
9.40940940940941e-02,5.23370058717380e-01
9.50950950950951e-02,5.26247326215976e-01
9.60960960960961e-02,5.29085956371921e-01
9.70970970970971e-02,5.31886334016105e-01
9.80980980980981e-02,5.34648840146479e-01
9.90990990990991e-02,5.37373851966219e-01
1.00100100100100e-01,5.40061742921533e-01
1.01101101101101e-01,5.42712882739074e-01
1.02102102102102e-01,5.45327637462989e-01
1.03103103103103e-01,5.47906369491600e-01
1.04104104104104e-01,5.50449437613710e-01
1.05105105105105e-01,5.52957197044561e-01
1.06106106106106e-01,5.55429999461422e-01
1.07107107107107e-01,5.57868193038832e-01
1.08108108108108e-01,5.60272122483481e-01
1.09109109109109e-01,5.62642129068759e-01
1.10110110110110e-01,5.64978550668942e-01
1.11111111111111e-01,5.67281721793055e-01
1.12112112112112e-01,5.69551973618388e-01
1.13113113113113e-01,5.71789634023677e-01
1.14114114114114e-01,5.73995027621964e-01
1.15115115115115e-01,5.76168475793119e-01
1.16116116116116e-01,5.78310296716042e-01
1.17117117117117e-01,5.80420805400549e-01
1.18118118118118e-01,5.82500313718934e-01
1.19119119119119e-01,5.84549130437217e-01
1.20120120120120e-01,5.86567561246089e-01
1.21121121121121e-01,5.88555908791533e-01
1.22122122122122e-01,5.90514472705158e-01
1.23123123123123e-01,5.92443549634220e-01
1.24124124124124e-01,5.94343433271342e-01
1.25125125125125e-01,5.96214414383951e-01
1.26126126126126e-01,5.98056780843403e-01
1.27127127127127e-01,5.99870817653836e-01
1.28128128128128e-01,6.01656806980726e-01
1.29129129129129e-01,6.03415028179156e-01
1.30130130130130e-01,6.05145757821814e-01
1.31131131131131e-01,6.06849269726702e-01
1.32132132132132e-01,6.08525834984571e-01
1.33133133133133e-01,6.10175721986093e-01
1.34134134134134e-01,6.11799196448742e-01
1.35135135135135e-01,6.13396521443430e-01
1.36136136136136e-01,6.14967957420862e-01
1.37137137137137e-01,6.16513762237631e-01
1.38138138138138e-01,6.18034191182063e-01
1.39139139139139e-01,6.19529496999790e-01
1.40140140140140e-01,6.20999929919078e-01
1.41141141141141e-01,6.22445737675901e-01
1.42142142142142e-01,6.23867165538764e-01
1.43143143143143e-01,6.25264456333279e-01
1.44144144144144e-01,6.26637850466495e-01
1.45145145145145e-01,6.27987585950990e-01
1.46146146146146e-01,6.29313898428717e-01
1.47147147147147e-01,6.30617021194619e-01
1.48148148148148e-01,6.31897185220002e-01
1.49149149149149e-01,6.33154619175679e-01
1.50150150150150e-01,6.34389549454887e-01
1.51151151151151e-01,6.35602200195968e-01
1.52152152152152e-01,6.36792793304828e-01
