0,,-350.988,-291.168,-1.30913e+32
0,,-278.627,-308.26,-1.31545e+32
0,,-206.87,-327.04,-1.32179e+32
0,,-135.757,-347.492,-1.32816e+32
0,,-65.3256,-369.594,-1.33456e+32
0,,4.38595,-393.327,-1.341e+32
0,,73.3407,-418.667,-1.34746e+32
0,,141.502,-445.594,-1.35396e+32
0,,208.834,-474.083,-1.36049e+32
0,,275.302,-504.111,-1.36704e+32
0,,340.87,-535.652,-1.37364e+32
0,,405.506,-568.681,-1.38026e+32
0,,469.175,-603.172,-1.38691e+32
0,,531.846,-639.097,-1.3936e+32
0,,593.487,-676.429,-1.40032e+32
0,,654.066,-715.139,-1.40707e+32
0,,713.553,-755.197,-1.41385e+32
0,,771.92,-796.576,-1.42067e+32
0,,829.137,-839.242,-1.42752e+32
0,,885.177,-883.167,-1.4344e+32
0,,940.012,-928.317,-1.44131e+32
0,,993.617,-974.662,-1.44826e+32
0,,1045.97,-1022.17,-1.45524e+32
0,,1097.03,-1070.8,-1.46226e+32
0,,1146.8,-1120.53,-1.46931e+32
0,,1195.24,-1171.32,-1.47639e+32
0,,1242.33,-1223.13,-1.48351e+32
0,,1288.05,-1275.93,-1.49066e+32
0,,1332.38,-1329.69,-1.49785e+32
0,,1375.3,-1384.37,-1.50507e+32
0,,1416.79,-1439.92,-1.51233e+32
0,,1456.84,-1496.33,-1.51962e+32
0,,1495.43,-1553.54,-1.52694e+32
0,,1532.54,-1611.53,-1.53431e+32
0,,1568.17,-1670.25,-1.5417e+32
0,,1602.29,-1729.66,-1.54914e+32
0,,1634.89,-1789.74,-1.5566e+32
0,,1665.96,-1850.43,-1.56411e+32
0,,1695.49,-1911.71,-1.57165e+32
0,,1723.48,-1973.53,-1.57923e+32
0,,1749.9,-2035.86,-1.58684e+32
0,,1774.76,-2098.65,-1.59449e+32
0,,1798.05,-2161.87,-1.60218e+32
0,,1819.75,-2225.48,-1.6099e+32
0,,1839.88,-2289.43,-1.61766e+32
0,,1858.41,-2353.7,-1.62546e+32
0,,1875.35,-2418.24,-1.6333e+32
0,,1890.7,-2483.01,-1.64117e+32
0,,1904.46,-2547.98,-1.64908e+32
0,,1916.62,-2613.1,-1.65703e+32
0,,1927.18,-2678.34,-1.66502e+32
0,,1936.15,-2743.65,-1.67305e+32
0,,1943.53,-2809.01,-1.68112e+32
0,,1949.32,-2874.37,-1.68922e+32
0,,1953.53,-2939.69,-1.69736e+32
0,,1956.17,-3004.93,-1.70555e+32
0,,1957.22,-3070.06,-1.71377e+32
0,,1956.72,-3135.05,-1.72203e+32
0,,1954.65,-3199.84,-1.73033e+32
0,,1951.04,-3264.41,-1.73868e+32
0,,1945.89,-3328.72,-1.74706e+32
0,,1939.21,-3392.74,-1.75548e+32
0,,1931.01,-3456.42,-1.76394e+32
0,,1921.31,-3519.74,-1.77245e+32
0,,1910.11,-3582.65,-1.78099e+32
0,,1897.44,-3645.12,-1.78958e+32
0,,1883.3,-3707.12,-1.79821e+32
0,,1867.71,-3768.62,-1.80688e+32
0,,1850.69,-3829.57,-1.81559e+32
0,,1832.25,-3889.96,-1.82434e+32
0,,1812.41,-3949.74,-1.83313e+32
0,,1791.2,-4008.88,-1.84197e+32
0,,1768.62,-4067.35,-1.85085e+32
0,,1744.7,-4125.13,-1.85978e+32
0,,1719.45,-4182.18,-1.86874e+32
0,,1692.91,-4238.46,-1.87775e+32
0,,1665.09,-4293.96,-1.8868e+32
0,,1636.01,-4348.65,-1.8959e+32
0,,1605.7,-4402.48,-1.90504e+32
0,,1574.18,-4455.45,-1.91422e+32
0,,1541.47,-4507.52,-1.92345e+32
0,,1507.6,-4558.66,-1.93273e+32
0,,1472.6,-4608.85,-1.94204e+32
0,,1436.49,-4658.07,-1.95141e+32
0,,1399.29,-4706.29,-1.96081e+32
0,,1361.04,-4753.49,-1.97027e+32
0,,1321.75,-4799.64,-1.97977e+32
0,,1281.47,-4844.73,-1.98931e+32
0,,1240.21,-4888.73,-1.9989e+32
0,,1198.01,-4931.62,-2.00854e+32
0,,1154.89,-4973.38,-2.01822e+32
0,,1110.89,-5014,-2.02795e+32
0,,1066.03,-5053.45,-2.03773e+32
0,,1020.35,-5091.72,-2.04755e+32
0,,973.867,-5128.79,-2.05742e+32
0,,926.623,-5164.64,-2.06734e+32
0,,878.646,-5199.27,-2.07731e+32
0,,829.968,-5232.65,-2.08732e+32
0,,780.62,-5264.78,-2.09739e+32
0,,730.634,-5295.63,-2.1075e+32
0,,680.043,-5325.21,-2.11766e+32
0,,628.878,-5353.49,-2.12787e+32
0,,577.173,-5380.46,-2.13813e+32
0,,524.959,-5406.13,-2.14843e+32
0,,472.271,-5430.47,-2.15879e+32
0,,419.14,-5453.48,-2.1692e+32
0,,365.601,-5475.16,-2.17966e+32
0,,311.685,-5495.49,-2.19016e+32
0,,257.427,-5514.48,-2.20072e+32
0,,202.859,-5532.11,-2.21133e+32
0,,148.015,-5548.39,-2.22199e+32
0,,92.928,-5563.3,-2.23271e+32
0,,37.6315,-5576.86,-2.24347e+32
0,,-17.8414,-5589.05,-2.25429e+32
0,,-73.4576,-5599.88,-2.26515e+32
0,,-129.184,-5609.35,-2.27607e+32
0,,-184.987,-5617.45,-2.28705e+32
0,,-240.835,-5624.2,-2.29807e+32
0,,-296.694,-5629.58,-2.30915e+32
0,,-352.532,-5633.62,-2.32029e+32
0,,-408.317,-5636.3,-2.33147e+32
0,,-464.016,-5637.63,-2.34271e+32
0,,-519.597,-5637.63,-2.35401e+32
0,,-575.029,-5636.29,-2.36535e+32
