-687.126,789.846,201.126
-686.174,789.254,198.353
-685.22,788.62,195.59
-684.264,787.944,192.837
-683.309,787.226,190.092
-682.354,786.466,187.357
-681.401,785.664,184.63
-680.451,784.821,181.913
-679.505,783.936,179.204
-678.564,783.009,176.504
-677.629,782.04,173.813
-676.701,781.031,171.129
-675.78,779.98,168.454
-674.869,778.889,165.788
-673.968,777.756,163.129
-673.078,776.584,160.478
-672.2,775.371,157.834
-671.335,774.119,155.198
-670.484,772.827,152.57
-669.648,771.496,149.949
-668.827,770.126,147.335
-668.024,768.719,144.729
-667.238,767.273,142.129
-666.471,765.79,139.536
-665.724,764.27,136.95
-664.997,762.714,134.371
-664.292,761.122,131.797
-663.609,759.495,129.231
-662.949,757.833,126.67
-662.313,756.137,124.116
-661.702,754.408,121.567
-661.117,752.645,119.024
-660.558,750.851,116.488
-660.026,749.025,113.956
-659.523,747.168,111.43
-659.048,745.281,108.91
-658.603,743.365,106.395
-658.188,741.42,103.885
-657.804,739.448,101.379
-657.452,737.448,98.8792
-657.132,735.422,96.3837
-656.844,733.371,93.8928
-656.591,731.295,91.4065
-656.371,729.196,88.9246
-656.186,727.074,86.4469
-656.037,724.929,83.9734
-655.923,722.764,81.5039
-655.845,720.579,79.0383
-655.805,718.374,76.5766
-655.801,716.152,74.1185
-655.835,713.912,71.664
-655.908,711.655,69.213
-656.018,709.383,66.7652
-656.168,707.097,64.3207
-656.357,704.798,61.8793
-656.585,702.486,59.4408
-656.853,700.162,57.0052
-657.162,697.829,54.5724
-657.51,695.485,52.1422
-657.899,693.134,49.7144
-658.329,690.775,47.2891
-658.8,688.41,44.8661
-659.311,686.04,42.4452
-659.864,683.665,40.0263
-660.458,681.288,37.6094
-661.094,678.908,35.1943
-661.77,676.527,32.7809
-662.489,674.146,30.369
-663.248,671.766,27.9586
-664.049,669.389,25.5496
-664.89,667.014,23.1418
-665.773,664.644,20.7351
-666.697,662.279,18.3293
-667.662,659.92,15.9245
-668.668,657.569,13.5205
-669.714,655.226,11.1171
-670.8,652.892,8.71419
-671.926,650.569,6.31174
-673.092,648.257,3.90959
-674.297,645.958,1.50762
-675.541,643.672,-0.894265
-676.824,641.401,-3.2962
-678.146,639.145,-5.69829
-679.505,636.905,-8.10065
-680.902,634.683,-10.5034
-682.336,632.479,-12.9067
-683.807,630.294,-15.3105
-685.313,628.13,-17.7152
-686.855,625.987,-20.1206
-688.433,623.865,-22.5271
-690.044,621.767,-24.9346
-691.69,619.693,-27.3433
-693.369,617.643,-29.7533
-695.08,615.618,-32.1648
-696.823,613.62,-34.5778
-698.598,611.65,-36.9925
-700.403,609.707,-39.4089
-702.238,607.793,-41.8273
-704.103,605.908,-44.2477
-705.995,604.054,-46.6701
-707.916,602.23,-49.0949
-709.863,600.439,-51.522
-711.836,598.679,-53.9515
-713.834,596.953,-56.3837
-715.857,595.261,-58.8186
-717.903,593.603,-61.2563
-719.972,591.979,-63.697
-722.062,590.392,-66.1407
-724.174,588.84,-68.5876
-726.305,587.325,-71.0378
-728.455,585.847,-73.4914
-730.623,584.407,-75.9485
-732.808,583.004,-78.4093
-735.01,581.641,-80.8739
-737.226,580.316,-83.3424
-739.457,579.03,-85.8148
-741.7,577.785,-88.2914
-743.956,576.579,-90.7723
-746.223,575.414,-93.2575
-748.5,574.289,-95.7472
-750.786,573.206,-98.2415
-753.08,572.163,-100.741
-755.381,571.162,-103.244
-757.688,570.203,-105.753
-760,569.285,-108.267
-762.316,568.409,-110.786
-764.634,567.575,-113.311
-766.954,566.784,-115.841
-769.274,566.034,-118.376
-771.594,565.327,-120.917
-773.913,564.662,-123.464
-776.229,564.039,-126.017
-778.541,563.458,-128.576
-780.849,562.919,-131.141
-783.15,562.423,-133.713
-785.445,561.968,-136.291
-787.732,561.554,-138.875
-790.01,561.182,-141.466
-792.277,560.852,-144.064
-794.534,560.562,-146.669
-796.779,560.314,-149.281
-799.01,560.106,-151.9
-801.227,559.937,-154.527
-803.429,559.809,-157.16
-805.615,559.721,-159.802
-807.783,559.671,-162.451
-809.933,559.66,-165.108
-812.064,559.687,-167.773
-814.175,559.753,-170.446
-816.265,559.855,-173.127
-818.332,559.994,-175.816
-820.377,560.17,-178.514
-822.397,560.381,-181.22
-824.393,560.627,-183.936
-826.363,560.908,-186.66
-828.306,561.223,-189.393
-830.222,561.571,-192.135
-832.11,561.951,-194.886
-833.968,562.363,-197.647
-835.796,562.807,-200.417
-837.594,563.281,-203.197
-839.36,563.785,-205.987
-841.094,564.317,-208.786
-842.795,564.878,-211.596
-844.462,565.466,-214.416
-846.094,566.08,-217.246
-847.692,566.72,-220.086
-849.254,567.385,-222.937
-850.779,568.074,-225.799
-852.267,568.786,-228.672
-853.718,569.52,-231.556
-855.13,570.275,-234.451
-856.504,571.05,-237.357
-857.838,571.845,-240.274
-859.133,572.658,-243.203
-860.388,573.488,-246.144
-861.601,574.335,-249.097
-862.774,575.197,-252.061
-863.906,576.074,-255.038
-864.995,576.964,-258.027
-866.042,577.866,-261.028
-867.047,578.779,-264.042
-868.009,579.703,-267.069
-868.928,580.636,-270.109
-869.803,581.577,-273.161
-870.635,582.525,-276.227
-871.424,583.479,-279.306
-872.168,584.438,-282.398
-872.868,585.401,-285.504
-873.524,586.367,-288.623
-874.136,587.334,-291.757
-874.704,588.302,-294.905
-875.227,589.27,-298.066
-875.706,590.236,-301.242
-876.141,591.199,-304.433
-876.531,592.158,-307.638
-876.878,593.113,-310.858
-877.18,594.061,-314.093
-877.439,595.003,-317.343
-877.653,595.936,-320.609
