Particle,vx,vy,vz
0,121.59,45.6679,185.516
1,58.1881,-131.697,-6.5957
0,122.604,42.8358,186.495
1,54.9532,-132.968,-6.81551
0,123.547,39.9782,187.483
1,51.6863,-134.159,-7.03564
0,124.419,37.097,188.48
1,48.3897,-135.267,-7.25612
0,125.218,34.1939,189.487
1,45.0652,-136.293,-7.47694
0,125.944,31.2708,190.502
1,41.7149,-137.235,-7.69812
0,126.598,28.3295,191.527
1,38.341,-138.094,-7.91967
0,127.177,25.3718,192.56
1,34.9455,-138.868,-8.1416
0,127.682,22.3995,193.603
1,31.5305,-139.558,-8.36392
0,128.113,19.4146,194.656
1,28.0983,-140.162,-8.58665
0,128.468,16.4188,195.718
1,24.6508,-140.68,-8.80979
0,128.749,13.4141,196.789
1,21.1902,-141.111,-9.03335
0,128.954,10.4023,197.869
1,17.7188,-141.456,-9.25734
0,129.084,7.38532,198.959
1,14.2387,-141.714,-9.48179
0,129.138,4.36504,200.059
1,10.752,-141.885,-9.70668
0,129.117,1.34337,201.168
1,7.26092,-141.969,-9.93205
0,129.019,-1.67782,202.287
1,3.76767,-141.966,-10.1579
0,128.846,-4.69663,203.416
1,0.274405,-141.875,-10.3842
0,128.597,-7.71116,204.554
1,-3.21667,-141.696,-10.6111
0,128.273,-10.7195,205.703
1,-6.70339,-141.431,-10.8384
0,127.873,-13.7198,206.861
1,-10.1835,-141.078,-11.0663
0,127.398,-16.7102,208.029
1,-13.655,-140.637,-11.2946
0,126.848,-19.6887,209.207
1,-17.1155,-140.111,-11.5236
0,126.223,-22.6535,210.396
1,-20.5629,-139.497,-11.7531
0,125.524,-25.6028,211.594
1,-23.9951,-138.797,-11.9831
0,124.751,-28.5346,212.802
1,-27.4099,-138.012,-12.2138
0,123.904,-31.4472,214.021
1,-30.8051,-137.141,-12.445
0,122.985,-34.3386,215.25
1,-34.1787,-136.184,-12.6768
0,121.993,-37.2071,216.49
1,-37.5284,-135.144,-12.9092
0,120.929,-40.0509,217.739
1,-40.8522,-134.02,-13.1423
0,119.794,-42.8681,219
1,-44.148,-132.812,-13.376
0,118.588,-45.657,220.271
1,-47.4137,-131.523,-13.6103
0,117.312,-48.4158,221.552
1,-50.6472,-130.151,-13.8453
0,115.967,-51.1427,222.844
1,-53.8465,-128.699,-14.0809
0,114.554,-53.8361,224.147
1,-57.0097,-127.166,-14.3172
0,113.073,-56.4942,225.46
1,-60.1346,-125.555,-14.5542
0,111.526,-59.1153,226.785
1,-63.2192,-123.865,-14.792
0,109.912,-61.6978,228.12
1,-66.2618,-122.098,-15.0304
0,108.234,-64.24,229.466
1,-69.2602,-120.255,-15.2695
0,106.493,-66.7403,230.824
1,-72.2127,-118.337,-15.5094
0,104.688,-69.1972,232.192
1,-75.1173,-116.345,-15.75
0,102.823,-71.6089,233.572
1,-77.9722,-114.281,-15.9914
0,100.896,-73.9741,234.963
1,-80.7756,-112.145,-16.2336
0,98.9104,-76.2912,236.365
1,-83.5257,-109.939,-16.4765
0,96.8666,-78.5587,237.778
1,-86.2208,-107.664,-16.7202
0,94.766,-80.7752,239.203
1,-88.859,-105.322,-16.9648
0,92.6098,-82.9392,240.64
1,-91.4388,-102.914,-17.2101
0,90.3992,-85.0493,242.088
1,-93.9585,-100.441,-17.4563
0,88.1358,-87.1043,243.547
1,-96.4165,-97.9055,-17.7033
0,85.8209,-89.1027,245.019
1,-98.8111,-95.3084,-17.9512
0,83.4558,-91.0433,246.502
1,-101.141,-92.6514,-18.1999
0,81.042,-92.9249,247.997
1,-103.405,-89.9362,-18.4495
0,78.5811,-94.7462,249.504
1,-105.6,-87.1643,-18.7
0,76.0745,-96.506,251.023
1,-107.727,-84.3376,-18.9514
0,73.5237,-98.2032,252.554
1,-109.783,-81.4577,-19.2037
0,70.9303,-99.8367,254.097
1,-111.767,-78.5264,-19.4569
0,68.296,-101.406,255.652
1,-113.678,-75.5455,-19.711
0,65.6223,-102.908,257.22
1,-115.514,-72.5168,-19.9662
0,62.9108,-104.345,258.8
1,-117.275,-69.4423,-20.2222
0,60.1634,-105.713,260.392
1,-118.959,-66.3237,-20.4793
0,57.3815,-107.013,261.997
1,-120.566,-63.163,-20.7373
0,54.567,-108.243,263.615
1,-122.093,-59.9622,-20.9963
0,51.7217,-109.404,265.245
1,-123.54,-56.7232,-21.2563
0,48.8471,-110.493,266.888
1,-124.907,-53.448,-21.5174
0,45.9453,-111.51,268.544
1,-126.192,-50.1387,-21.7795
0,43.0178,-112.455,270.213
1,-127.394,-46.7972,-22.0426
0,40.0666,-113.327,271.895
1,-128.513,-43.4258,-22.3068
0,37.0935,-114.125,273.59
1,-129.547,-40.0264,-22.5721
0,34.1002,-114.848,275.298
1,-130.497,-36.6011,-22.8385
0,31.0888,-115.497,277.019
1,-131.362,-33.1521,-23.1059
0,28.061,-116.071,278.753
1,-132.14,-29.6816,-23.3745
0,25.0187,-116.57,280.501
1,-132.831,-26.1916,-23.6442
0,21.9639,-116.992,282.263
1,-133.436,-22.6844,-23.915
0,18.8984,-117.338,284.038
1,-133.953,-19.1621,-24.187
0,15.824,-117.607,285.827
1,-134.382,-15.6269,-24.4601
0,12.7429,-117.8,287.629
1,-134.722,-12.081,-24.7344
0,9.65675,-117.916,289.446
1,-134.974,-8.52658,-25.0099
0,6.56762,-117.955,291.276
1,-135.138,-4.96592,-25.2867
0,3.4774,-117.916,293.12
1,-135.213,-1.40122,-25.5646
0,0.388021,-117.801,294.978
1,-135.198,2.16531,-25.8437
0,-2.69859,-117.608,296.851
1,-135.095,5.73144,-26.1241
