Particle,x,y,z
0,22.2261,-44.6639,183.72
1,20.171,-39.6606,-45.0976
0,23.3032,-43.9418,185.482
1,21.0545,-40.808,-45.1418
0,24.3971,-43.2445,187.253
1,21.91,-41.9757,-45.1881
0,25.5072,-42.5725,189.033
1,22.7368,-43.1629,-45.2365
0,26.6328,-41.9261,190.822
1,23.5345,-44.369,-45.2872
0,27.7734,-41.3058,192.62
1,24.3027,-45.5932,-45.34
0,28.9281,-40.712,194.428
1,25.0409,-46.8348,-45.395
0,30.0965,-40.1449,196.244
1,25.7486,-48.093,-45.4522
0,31.2778,-39.6049,198.071
1,26.4254,-49.3671,-45.5116
0,32.4713,-39.0925,199.907
1,27.0709,-50.6562,-45.5732
0,33.6763,-38.6077,201.752
1,27.6848,-51.9597,-45.6369
0,34.8922,-38.151,203.607
1,28.2667,-53.2767,-45.7029
0,36.1183,-37.7227,205.472
1,28.8162,-54.6063,-45.7711
0,37.3537,-37.3229,207.347
1,29.3331,-55.9479,-45.8414
0,38.5979,-36.9519,209.232
1,29.817,-57.3006,-45.914
0,39.8501,-36.61,211.127
1,30.2676,-58.6635,-45.9887
0,41.1096,-36.2973,213.032
1,30.6848,-60.0359,-46.0657
0,42.3755,-36.014,214.947
1,31.0682,-61.4168,-46.1449
0,43.6473,-35.7603,216.873
1,31.4176,-62.8055,-46.2263
0,44.9241,-35.5363,218.809
1,31.7329,-64.2011,-46.31
0,46.2053,-35.3421,220.755
1,32.0139,-65.6027,-46.3958
0,47.4899,-35.178,222.712
1,32.2604,-67.0095,-46.4839
0,48.7774,-35.0438,224.68
1,32.4723,-68.4206,-46.5743
0,50.067,-34.9398,226.659
1,32.6495,-69.8352,-46.6668
0,51.3578,-34.8659,228.649
1,32.7919,-71.2523,-46.7617
0,52.6492,-34.8223,230.649
1,32.8994,-72.6712,-46.8587
0,53.9404,-34.8089,232.661
1,32.972,-74.0909,-46.9581
0,55.2306,-34.8256,234.684
1,33.0097,-75.5105,-47.0596
0,56.519,-34.8726,236.718
1,33.0125,-76.9293,-47.1635
0,57.805,-34.9497,238.763
1,32.9803,-78.3462,-47.2696
0,59.0877,-35.0569,240.82
1,32.9133,-79.7605,-47.378
0,60.3664,-35.1941,242.889
1,32.8114,-81.1713,-47.4886
0,61.6404,-35.3612,244.969
1,32.6749,-82.5777,-47.6016
0,62.9089,-35.5581,247.061
1,32.5037,-83.9788,-47.7168
0,64.1711,-35.7846,249.165
1,32.2981,-85.3738,-47.8343
0,65.4264,-36.0407,251.281
1,32.0581,-86.7617,-47.9542
0,66.6739,-36.326,253.409
1,31.784,-88.1418,-48.0763
0,67.9129,-36.6405,255.55
1,31.476,-89.5133,-48.2008
0,69.1428,-36.9839,257.702
1,31.1342,-90.8751,-48.3275
0,70.3627,-37.3559,259.867
1,30.7589,-92.2265,-48.4566
0,71.572,-37.7564,262.044
1,30.3504,-93.5667,-48.588
0,72.7699,-38.1851,264.234
1,29.9089,-94.8949,-48.7218
0,73.9558,-38.6417,266.437
1,29.4348,-96.2101,-48.8579
0,75.1289,-39.1258,268.653
1,28.9283,-97.5116,-48.9964
0,76.2886,-39.6373,270.881
1,28.3898,-98.7986,-49.1372
0,77.4341,-40.1756,273.122
1,27.8198,-100.07,-49.2803
0,78.5649,-40.7406,275.377
1,27.2184,-101.326,-49.4259
0,79.6801,-41.3317,277.645
1,26.5862,-102.564,-49.5738
0,80.7792,-41.9487,279.926
1,25.9236,-103.785,-49.7241
0,81.8616,-42.5911,282.221
1,25.231,-104.988,-49.8768
0,82.9265,-43.2585,284.529
1,24.5089,-106.171,-50.0319
0,83.9734,-43.9505,286.851
1,23.7577,-107.335,-50.1894
0,85.0016,-44.6666,289.187
1,22.978,-108.478,-50.3493
0,86.0106,-45.4063,291.536
1,22.1702,-109.599,-50.5116
0,86.9997,-46.1692,293.9
1,21.335,-110.698,-50.6764
0,87.9684,-46.9548,296.278
1,20.4727,-111.775,-50.8436
0,88.916,-47.7626,298.67
1,19.5842,-112.828,-51.0133
0,89.8421,-48.592,301.076
1,18.6698,-113.857,-51.1854
0,90.7461,-49.4424,303.497
1,17.7302,-114.862,-51.3599
0,91.6275,-50.3135,305.932
1,16.766,-115.841,-51.537
0,92.4857,-51.2045,308.383
1,15.7779,-116.794,-51.7165
0,93.3202,-52.115,310.848
1,14.7665,-117.721,-51.8985
0,94.1306,-53.0442,313.328
1,13.7325,-118.62,-52.083
0,94.9165,-53.9917,315.823
1,12.6765,-119.492,-52.27
0,95.6772,-54.9567,318.333
1,11.5992,-120.335,-52.4595
0,96.4124,-55.9388,320.858
1,10.5014,-121.149,-52.6515
0,97.1217,-56.9371,323.399
1,9.38369,-121.935,-52.8461
0,97.8047,-57.9512,325.956
1,8.24691,-122.69,-53.0432
0,98.4609,-58.9803,328.528
1,7.09177,-123.415,-53.2429
0,99.09,-60.0237,331.116
1,5.91902,-124.11,-53.4451
0,99.6917,-61.0808,333.72
1,4.72942,-124.773,-53.6499
0,100.265,-62.151,336.34
1,3.52377,-125.405,-53.8572
0,100.811,-63.2334,338.976
1,2.30284,-126.004,-54.0672
0,101.328,-64.3274,341.629
1,1.06744,-126.571,-54.2798
0,101.817,-65.4324,344.297
1,-0.181633,-127.106,-54.4949
0,102.276,-66.5475,346.983
1,-1.44355,-127.607,-54.7127
0,102.706,-67.672,349.685
1,-2.71749,-128.075,-54.9332
0,103.107,-68.8053,352.404
1,-4.00262,-128.51,-55.1562
0,103.478,-69.9465,355.14
1,-5.29809,-128.91,-55.382
0,103.819,-71.095,357.893
1,-6.60307,-129.276,-55.6103
0,104.13,-72.25,360.663
1,-7.91668,-129.607,-55.8414
0,104.411,-73.4107,363.451
1,-9.23808,-129.904,-56.0751
0,104.661,-74.5764,366.256
1,-10.5664,-130.166,-56.3116
0,104.88,-75.7463,369.078
1,-11.9007,-130.393,-56.5507
0,105.069,-76.9197,371.919
1,-13.2403,-130.585,-56.7926
0,105.228,-78.0958,374.777
1,-14.5841,-130.741,-57.0372
0,105.355,-79.2738,377.653
1,-15.9313,-130.862,-57.2846
0,105.452,-80.4529,380.548
1,-17.2811,-130.947,-57.5347
0,105.517,-81.6325,383.46
1,-18.6324,-130.997,-57.7875
0,105.552,-82.8116,386.392
1,-19.9846,-131.011,-58.0432
0,105.556,-83.9896,389.341
1,-21.3365,-130.989,-58.3016
0,105.529,-85.1657,392.31
1,-22.6875,-130.932,-58.5628
0,105.471,-86.3391,395.297
1,-24.0365,-130.839,-58.8269
0,105.383,-87.509,398.304
1,-25.3827,-130.71,-59.0938
0,105.263,-88.6747,401.329
1,-26.7252,-130.546,-59.3635
0,105.114,-89.8354,404.374
1,-28.0632,-130.347,-59.6361
0,104.933,-90.9903,407.438
1,-29.3956,-130.112,-59.9116
0,104.723,-92.1387,410.522
1,-30.7217,-129.842,-60.1899
0,104.482,-93.2798,413.626
1,-32.0406,-129.537,-60.4711
0,104.212,-94.4129,416.749
1,-33.3513,-129.197,-60.7553
0,103.911,-95.5372,419.893
1,-34.6531,-128.823,-61.0423
0,103.581,-96.652,423.057
1,-35.9451,-128.414,-61.3323
0,103.222,-97.7566,426.241
1,-37.2263,-127.971,-61.6252
0,102.834,-98.8501,429.445
1,-38.496,-127.494,-61.9212
0,102.417,-99.9319,432.671
1,-39.7534,-126.984,-62.22
0,101.971,-101.001,435.917
1,-40.9974,-126.44,-62.5219
0,101.498,-102.058,439.184
1,-42.2275,-125.863,-62.8268
0,100.996,-103.1,442.472
1,-43.4426,-125.254,-63.1347
0,100.467,-104.128,445.781
1,-44.6421,-124.612,-63.4457
0,99.9111,-105.141,449.112
1,-45.825,-123.939,-63.7597
0,99.3282,-106.137,452.465
1,-46.9906,-123.234,-64.0767
0,98.719,-107.117,455.839
1,-48.1382,-122.498,-64.3969
0,98.0838,-108.08,459.235
1,-49.2669,-121.732,-64.7201
0,97.4231,-109.026,462.653
1,-50.376,-120.935,-65.0465
0,96.7373,-109.952,466.094
1,-51.4648,-120.109,-65.3759
0,96.0269,-110.86,469.557
1,-52.5324,-119.254,-65.7086
0,95.2924,-111.747,473.042
1,-53.5782,-118.371,-66.0443
0,94.5343,-112.615,476.551
1,-54.6015,-117.459,-66.3833
0,93.753,-113.461,480.082
1,-55.6015,-116.52,-66.7255
0,92.9491,-114.286,483.636
1,-56.5777,-115.554,-67.0708
0,92.1232,-115.089,487.214
1,-57.5292,-114.562,-67.4194
0,91.2757,-115.869,490.815
1,-58.4555,-113.544,-67.7713
0,90.4073,-116.626,494.439
1,-59.3559,-112.502,-68.1263
0,89.5185,-117.359,498.087
1,-60.2298,-111.434,-68.4847
0,88.6099,-118.068,501.76
1,-61.0766,-110.344,-68.8464
0,87.6821,-118.753,505.456
1,-61.8957,-109.23,-69.2113
0,86.7357,-119.412,509.177
1,-62.6865,-108.093,-69.5796
0,85.7714,-120.046,512.922
1,-63.4485,-106.936,-69.9513
0,84.7899,-120.653,516.692
1,-64.1812,-105.757,-70.3263
0,83.7916,-121.234,520.487
1,-64.8839,-104.558,-70.7047
0,82.7774,-121.788,524.307
1,-65.5563,-103.34,-71.0865
0,81.7479,-122.315,528.152
1,-66.1977,-102.103,-71.4717
0,80.7037,-122.814,532.022
1,-66.8079,-100.848,-71.8604
0,79.6456,-123.285,535.918
1,-67.3863,-99.5763,-72.2525
0,78.5742,-123.728,539.84
1,-67.9324,-98.2881,-72.6481
0,77.4903,-124.142,543.787
1,-68.446,-96.9844,-73.0471
0,76.3946,-124.527,547.761
1,-68.9265,-95.666,-73.4497
0,75.2878,-124.882,551.761
1,-69.3737,-94.3338,-73.8558
0,74.1706,-125.208,555.788
1,-69.7872,-92.9885,-74.2655
0,73.0439,-125.504,559.842
1,-70.1666,-91.6311,-74.6788
0,71.9082,-125.77,563.922
1,-70.5118,-90.2623,-75.0956
0,70.7644,-126.006,568.03
1,-70.8223,-88.8831,-75.5161
0,69.6133,-126.211,572.165
1,-71.0979,-87.4943,-75.9401
0,68.4555,-126.385,576.327
1,-71.3385,-86.0967,-76.3679
0,67.2919,-126.529,580.517
1,-71.5437,-84.6913,-76.7993
0,66.1233,-126.641,584.735
1,-71.7134,-83.2789,-77.2344
0,64.9503,-126.722,588.981
1,-71.8474,-81.8604,-77.6732
0,63.7738,-126.772,593.256
1,-71.9456,-80.4367,-78.1157
0,62.5946,-126.791,597.559
1,-72.0078,-79.0088,-78.562
0,61.4135,-126.778,601.89
1,-72.0339,-77.5774,-79.0121
0,60.2311,-126.734,606.251
1,-72.0239,-76.1436,-79.466
0,59.0484,-126.658,610.641
1,-71.9777,-74.7081,-79.9237
0,57.8661,-126.551,615.06
1,-71.8952,-73.272,-80.3853
0,56.685,-126.413,619.509
1,-71.7764,-71.8361,-80.8507
0,55.5058,-126.243,623.987
1,-71.6214,-70.4013,-81.32
0,54.3294,-126.041,628.496
1,-71.4302,-68.9686,-81.7932
0,53.1565,-125.808,633.035
1,-71.2028,-67.5387,-82.2704
0,51.988,-125.544,637.604
1,-70.9393,-66.1128,-82.7515
0,50.8245,-125.249,642.204
1,-70.6399,-64.6916,-83.2366
0,49.6669,-124.923,646.835
1,-70.3045,-63.276,-83.7257
0,48.516,-124.566,651.497
1,-69.9334,-61.867,-84.2188
0,47.3725,-124.179,656.19
1,-69.5268,-60.4654,-84.7159
0,46.2372,-123.761,660.915
1,-69.0847,-59.0721,-85.2172
0,45.1108,-123.312,665.671
1,-68.6075,-57.6881,-85.7225
0,43.9941,-122.834,670.46
1,-68.0954,-56.3141,-86.232
0,42.8878,-122.325,675.281
1,-67.5486,-54.9511,-86.7456
0,41.7928,-121.788,680.134
1,-66.9674,-53.5999,-87.2634
0,40.7097,-121.221,685.02
1,-66.3521,-52.2614,-87.7854
0,39.6392,-120.625,689.939
1,-65.703,-50.9365,-88.3116
0,38.5821,-120,694.891
1,-65.0204,-49.6259,-88.842
0,37.5391,-119.347,699.877
1,-64.3048,-48.3305,-89.3767
0,36.5109,-118.666,704.896
1,-63.5565,-47.0512,-89.9158
0,35.4982,-117.958,709.949
1,-62.7759,-45.7888,-90.4591
0,34.5017,-117.222,715.037
1,-61.9634,-44.544,-91.0068
0,33.522,-116.459,720.158
1,-61.1196,-43.3177,-91.5589
0,32.5599,-115.671,725.315
1,-60.2447,-42.1107,-92.1153
0,31.616,-114.856,730.506
1,-59.3394,-40.9236,-92.6762
0,30.6909,-114.016,735.732
1,-58.4041,-39.7574,-93.2416
0,29.7852,-113.15,740.994
1,-57.4393,-38.6127,-93.8115
0,28.8997,-112.261,746.291
1,-56.4457,-37.4903,-94.3858
0,28.0348,-111.347,751.625
1,-55.4237,-36.3908,-94.9647
0,27.1912,-110.41,756.994
1,-54.3739,-35.3151,-95.5482
0,26.3696,-109.45,762.4
1,-53.2969,-34.2637,-96.1362
0,25.5703,-108.467,767.842
1,-52.1934,-33.2375,-96.7289
0,24.7941,-107.463,773.322
1,-51.064,-32.2369,-97.3263
0,24.0415,-106.438,778.838
1,-49.9092,-31.2628,-97.9283
0,23.3129,-105.391,784.392
1,-48.7299,-30.3157,-98.535
0,22.6089,-104.325,789.984
1,-47.5266,-29.3962,-99.1465
0,21.9301,-103.239,795.614
1,-46.3,-28.5049,-99.7627
0,21.2768,-102.135,801.282
1,-45.0509,-27.6424,-100.384
0,20.6495,-101.012,806.988
1,-43.7799,-26.8094,-101.01
0,20.0488,-99.8719,812.734
1,-42.4879,-26.0062,-101.64
0,19.475,-98.7148,818.518
1,-41.1756,-25.2335,-102.276
0,18.9285,-97.5416,824.342
1,-39.8436,-24.4917,-102.916
0,18.4098,-96.3529,830.206
1,-38.4929,-23.7813,-103.562
0,17.9193,-95.1494,836.109
1,-37.1242,-23.1029,-104.212
0,17.4572,-93.9318,842.053
1,-35.7382,-22.4569,-104.868
0,17.024,-92.7009,848.037
1,-34.3359,-21.8436,-105.528
0,16.62,-91.4573,854.062
1,-32.918,-21.2635,-106.194
0,16.2456,-90.2018,860.128
1,-31.4854,-20.717,-106.865
0,15.9009,-88.9351,866.235
1,-30.0388,-20.2045,-107.54
0,15.5863,-87.658,872.384
1,-28.5792,-19.7262,-108.222
0,15.302,-86.3712,878.575
1,-27.1074,-19.2826,-108.908
0,15.0483,-85.0755,884.808
1,-25.6243,-18.8739,-109.599
0,14.8254,-83.7716,891.084
1,-24.1308,-18.5004,-110.296
0,14.6335,-82.4604,897.403
1,-22.6277,-18.1624,-110.998
0,14.4728,-81.1426,903.765
1,-21.1159,-17.8601,-111.705
0,14.3434,-79.819,910.17
1,-19.5963,-17.5938,-112.418
0,14.2455,-78.4903,916.619
1,-18.0699,-17.3635,-113.136
0,14.1792,-77.1574,923.112
1,-16.5375,-17.1695,-113.86
0,14.1446,-75.821,929.65
1,-15,-17.012,-114.589
0,14.1418,-74.482,936.232
1,-13.4584,-16.891,-115.323
0,14.1709,-73.1411,942.859
1,-11.9136,-16.8067,-116.063
0,14.2319,-71.7992,949.532
1,-10.3664,-16.7592,-116.809
0,14.3248,-70.457,956.25
1,-8.81786,-16.7484,-117.561
0,14.4496,-69.1154,963.014
1,-7.26883,-16.7745,-118.317
0,14.6064,-67.7751,969.825
1,-5.72026,-16.8374,-119.08
0,14.795,-66.4369,976.682
1,-4.17306,-16.9372,-119.849
0,15.0155,-65.1017,983.586
1,-2.62816,-17.0737,-120.623
0,15.2677,-63.7702,990.538
1,-1.08648,-17.247,-121.403
0,15.5516,-62.4432,997.537
1,0.451057,-17.457,-122.188
0,15.867,-61.1216,1004.58
1,1.98353,-17.7035,-122.98
0,16.2138,-59.806,1011.68
1,3.51004,-17.9865,-123.778
0,16.5918,-58.4974,1018.82
1,5.02965,-18.3057,-124.581
0,17.0009,-57.1965,1026.02
1,6.54147,-18.661,-125.391
0,17.4409,-55.904,1033.26
1,8.04458,-19.0522,-126.206
0,17.9115,-54.6208,1040.55
1,9.5381,-19.4791,-127.028
0,18.4126,-53.3475,1047.89
1,11.0211,-19.9415,-127.856
0,18.9439,-52.0851,1055.29
1,12.4927,-20.439,-128.69
0,19.505,-50.8341,1062.73
1,13.9521,-20.9714,-129.53
0,20.0958,-49.5954,1070.22
1,15.3983,-21.5385,-130.376
0,20.7158,-48.3698,1077.77
1,16.8306,-22.1398,-131.229
0,21.3649,-47.1579,1085.37
1,18.2479,-22.7749,-132.087
0,22.0426,-45.9604,1093.02
1,19.6496,-23.4437,-132.953
0,22.7485,-44.7782,1100.72
1,21.0347,-24.1456,-133.824
0,23.4823,-43.6118,1108.48
1,22.4024,-24.8802,-134.702
0,24.2436,-42.4621,1116.28
1,23.7519,-25.647,-135.587
0,25.032,-41.3296,1124.15
1,25.0824,-26.4458,-136.478
0,25.847,-40.2151,1132.06
1,26.3931,-27.2759,-137.376
0,26.6882,-39.1192,1140.03
1,27.6832,-28.1368,-138.28
0,27.555,-38.0426,1148.06
1,28.9519,-29.0281,-139.191
0,28.4472,-36.986,1156.14
1,30.1985,-29.9492,-140.108
0,29.364,-35.9499,1164.28
1,31.4222,-30.8996,-141.033
0,30.3051,-34.935,1172.47
1,32.6223,-31.8786,-141.964
0,31.2698,-33.9419,1180.72
1,33.7981,-32.8857,-142.902
0,32.2576,-32.9711,1189.02
1,34.9488,-33.9204,-143.847
0,33.2681,-32.0234,1197.39
1,36.0738,-34.9818,-144.798
0,34.3005,-31.0991,1205.81
1,37.1725,-36.0695,-145.757
0,35.3543,-30.199,1214.29
1,38.244,-37.1828,-146.723
0,36.4289,-29.3234,1222.82
1,39.2879,-38.3209,-147.695
0,37.5237,-28.473,1231.42
1,40.3035,-39.4832,-148.675
0,38.638,-27.6482,1240.07
1,41.2902,-40.669,-149.662
0,39.7713,-26.8496,1248.79
1,42.2473,-41.8775,-150.656
0,40.9228,-26.0775,1257.56
1,43.1744,-43.108,-151.658
0,42.0919,-25.3326,1266.4
1,44.0708,-44.3598,-152.667
0,43.2778,-24.6151,1275.3
1,44.9361,-45.6321,-153.683
0,44.48,-23.9256,1284.25
1,45.7697,-46.924,-154.706
0,45.6977,-23.2644,1293.27
1,46.5712,-48.2349,-155.737
0,46.9302,-22.6319,1302.35
1,47.34,-49.564,-156.776
0,48.1768,-22.0285,1311.5
1,48.0757,-50.9103,-157.822
0,49.4367,-21.4545,1320.7
1,48.7778,-52.2731,-158.875
0,50.7093,-20.9104,1329.97
1,49.446,-53.6515,-159.936
0,51.9937,-20.3963,1339.31
1,50.0799,-55.0446,-161.005
0,53.2892,-19.9127,1348.71
1,50.6791,-56.4517,-162.082
0,54.5951,-19.4597,1358.17
1,51.2432,-57.8719,-163.166
0,55.9105,-19.0376,1367.7
1,51.772,-59.3042,-164.258
0,57.2348,-18.6467,1377.3
1,52.265,-60.7478,-165.359
0,58.5671,-18.2873,1386.96
1,52.7221,-62.2019,-166.467
0,59.9066,-17.9594,1396.69
1,53.143,-63.6654,-167.583
0,61.2526,-17.6633,1406.48
1,53.5273,-65.1375,-168.707
0,62.6042,-17.3991,1416.34
1,53.875,-66.6172,-169.839
0,63.9606,-17.167,1426.27
1,54.1858,-68.1038,-170.98
0,65.3211,-16.9671,1436.27
1,54.4596,-69.5962,-172.128
0,66.6849,-16.7996,1446.34
1,54.6962,-71.0934,-173.285
0,68.051,-16.6644,1456.48
1,54.8954,-72.5947,-174.451
0,69.4188,-16.5617,1466.69
1,55.0572,-74.099,-175.624
0,70.7874,-16.4914,1476.97
