Particle,vx,vy,vz
0,-1433.18,1468.97,1.77788e+32
1,1641.3,1698.47,-2.08651e+31
0,-1398.62,1496.37,1.78879e+32
1,1674.15,1659.62,-2.09931e+31
0,-1363.5,1522.88,1.79976e+32
1,1705.98,1620.08,-2.11218e+31
0,-1327.84,1548.47,1.81077e+32
1,1736.78,1579.89,-2.1251e+31
0,-1291.66,1573.13,1.82184e+32
1,1766.53,1539.07,-2.13809e+31
0,-1254.98,1596.86,1.83296e+32
1,1795.22,1497.64,-2.15114e+31
0,-1217.83,1619.65,1.84414e+32
1,1822.84,1455.64,-2.16426e+31
0,-1180.24,1641.48,1.85536e+32
1,1849.37,1413.08,-2.17744e+31
0,-1142.23,1662.36,1.86665e+32
1,1874.82,1370.01,-2.19068e+31
0,-1103.81,1682.27,1.87798e+32
1,1899.16,1326.44,-2.20398e+31
0,-1065.02,1701.2,1.88938e+32
1,1922.39,1282.4,-2.21735e+31
0,-1025.89,1719.15,1.90082e+32
1,1944.5,1237.93,-2.23079e+31
0,-986.424,1736.11,1.91233e+32
1,1965.49,1193.04,-2.24429e+31
0,-946.66,1752.08,1.92388e+32
1,1985.35,1147.78,-2.25785e+31
0,-906.62,1767.06,1.9355e+32
1,2004.06,1102.15,-2.27148e+31
0,-866.328,1781.03,1.94717e+32
1,2021.63,1056.2,-2.28517e+31
0,-825.81,1794,1.95889e+32
1,2038.05,1009.96,-2.29894e+31
0,-785.09,1805.96,1.97067e+32
1,2053.32,963.441,-2.31276e+31
0,-744.192,1816.92,1.98251e+32
1,2067.43,916.684,-2.32666e+31
0,-703.142,1826.86,1.99441e+32
1,2080.38,869.714,-2.34062e+31
0,-661.963,1835.79,2.00636e+32
1,2092.17,822.56,-2.35465e+31
0,-620.681,1843.71,2.01837e+32
1,2102.79,775.25,-2.36874e+31
0,-579.321,1850.62,2.03044e+32
1,2112.26,727.812,-2.38291e+31
0,-537.905,1856.52,2.04257e+32
1,2120.56,680.275,-2.39714e+31
0,-496.46,1861.4,2.05475e+32
1,2127.69,632.667,-2.41144e+31
0,-455.009,1865.29,2.067e+32
1,2133.67,585.016,-2.42581e+31
0,-413.576,1868.16,2.0793e+32
1,2138.49,537.349,-2.44025e+31
0,-372.186,1870.04,2.09166e+32
1,2142.15,489.695,-2.45476e+31
0,-330.862,1870.91,2.10408e+32
1,2144.65,442.082,-2.46933e+31
0,-289.628,1870.8,2.11657e+32
1,2146.01,394.536,-2.48398e+31
0,-248.508,1869.69,2.12911e+32
1,2146.23,347.086,-2.4987e+31
0,-207.525,1867.6,2.14171e+32
1,2145.3,299.759,-2.51349e+31
0,-166.703,1864.54,2.15438e+32
1,2143.24,252.581,-2.52835e+31
0,-126.064,1860.5,2.1671e+32
1,2140.06,205.579,-2.54329e+31
0,-85.6308,1855.5,2.17989e+32
1,2135.76,158.78,-2.55829e+31
0,-45.4266,1849.54,2.19273e+32
1,2130.35,112.21,-2.57337e+31
0,-5.47351,1842.63,2.20564e+32
1,2123.83,65.8948,-2.58852e+31
0,34.2065,1834.79,2.21861e+32
1,2116.22,19.8608,-2.60374e+31
0,73.5915,1826.01,2.23165e+32
1,2107.53,-25.8668,-2.61904e+31
0,112.66,1816.31,2.24474e+32
1,2097.76,-71.2628,-2.63441e+31
0,151.391,1805.71,2.25791e+32
1,2086.93,-116.302,-2.64986e+31
0,189.763,1794.2,2.27113e+32
1,2075.05,-160.961,-2.66538e+31
