Particle,x,y,z
1,257.486,-480.93,-454.522
0,312.778,-396.049,1980.71
1,264.254,-493.671,-455.116
0,324.713,-390.925,1999.07
1,270.709,-506.562,-455.732
0,336.763,-386.077,2017.52
1,276.848,-519.597,-456.369
0,348.922,-381.51,2036.07
1,282.667,-532.767,-457.029
0,361.183,-377.227,2054.72
1,288.162,-546.063,-457.711
0,373.537,-373.229,2073.47
1,293.331,-559.479,-458.414
0,385.979,-369.519,2092.32
1,298.17,-573.006,-459.14
0,398.501,-366.1,2111.27
1,302.676,-586.635,-459.887
0,411.096,-362.973,2130.32
1,306.848,-600.359,-460.657
0,423.755,-360.14,2149.47
1,310.682,-614.168,-461.449
0,436.473,-357.603,2168.73
1,314.176,-628.055,-462.263
0,449.241,-355.363,2188.09
1,317.329,-642.011,-463.1
0,462.053,-353.421,2207.55
1,320.139,-656.027,-463.958
0,474.899,-351.78,2227.12
1,322.604,-670.095,-464.839
0,487.774,-350.438,2246.8
1,324.723,-684.206,-465.743
0,500.67,-349.398,2266.59
1,326.495,-698.352,-466.668
0,513.578,-348.659,2286.49
1,327.919,-712.523,-467.617
0,526.492,-348.223,2306.49
1,328.994,-726.712,-468.587
0,539.404,-348.089,2326.61
1,329.72,-740.909,-469.581
0,552.306,-348.256,2346.84
1,330.097,-755.105,-470.596
0,565.19,-348.726,2367.18
1,330.125,-769.293,-471.635
0,578.05,-349.497,2387.63
1,329.803,-783.462,-472.696
0,590.877,-350.569,2408.2
1,329.133,-797.605,-473.78
0,603.664,-351.941,2428.89
1,328.114,-811.713,-474.886
0,616.404,-353.612,2449.69
1,326.749,-825.777,-476.016
0,629.089,-355.581,2470.61
1,325.037,-839.788,-477.168
0,641.711,-357.846,2491.65
1,322.981,-853.738,-478.343
0,654.264,-360.407,2512.81
1,320.581,-867.617,-479.542
0,666.739,-363.26,2534.09
1,317.84,-881.418,-480.763
0,679.129,-366.405,2555.5
1,314.76,-895.133,-482.008
0,691.428,-369.839,2577.02
1,311.342,-908.751,-483.275
0,703.627,-373.559,2598.67
1,307.589,-922.265,-484.566
0,715.72,-377.564,2620.44
1,303.504,-935.667,-485.88
0,727.699,-381.851,2642.34
1,299.089,-948.949,-487.218
0,739.558,-386.417,2664.37
1,294.348,-962.101,-488.579
0,751.289,-391.258,2686.53
1,289.283,-975.116,-489.964
0,762.886,-396.373,2708.81
1,283.898,-987.986,-491.372
0,774.341,-401.756,2731.22
1,278.198,-1000.7,-492.803
0,785.649,-407.406,2753.77
1,272.184,-1013.26,-494.259
0,796.801,-413.317,2776.45
1,265.862,-1025.64,-495.738
0,807.792,-419.487,2799.26
1,259.236,-1037.85,-497.241
0,818.616,-425.911,2822.21
1,252.31,-1049.88,-498.768
0,829.265,-432.585,2845.29
1,245.089,-1061.71,-500.319
0,839.734,-439.505,2868.51
1,237.577,-1073.35,-501.894
0,850.016,-446.666,2891.87
1,229.78,-1084.78,-503.493
0,860.106,-454.063,2915.36
1,221.702,-1095.99,-505.116
0,869.997,-461.692,2939
1,213.35,-1106.98,-506.764
0,879.684,-469.548,2962.78
1,204.727,-1117.75,-508.436
0,889.16,-477.626,2986.7
1,195.842,-1128.28,-510.133
0,898.421,-485.92,3010.76
1,186.698,-1138.57,-511.854
0,907.461,-494.424,3034.97
1,177.302,-1148.62,-513.599
0,916.275,-503.135,3059.32
1,167.66,-1158.41,-515.37
0,924.857,-512.045,3083.83
1,157.779,-1167.94,-517.165
0,933.202,-521.15,3108.48
1,147.665,-1177.21,-518.985
0,941.306,-530.442,3133.28
1,137.325,-1186.2,-520.83
0,949.165,-539.917,3158.23
1,126.765,-1194.92,-522.7
0,956.772,-549.567,3183.33
1,115.992,-1203.35,-524.595
0,964.124,-559.388,3208.58
1,105.014,-1211.49,-526.515
0,971.217,-569.371,3233.99
1,93.8369,-1219.35,-528.461
0,978.047,-579.512,3259.56
1,82.4691,-1226.9,-530.432
0,984.609,-589.803,3285.28
1,70.9177,-1234.15,-532.429
0,990.9,-600.237,3311.16
1,59.1902,-1241.1,-534.451
0,996.917,-610.808,3337.2
1,47.2942,-1247.73,-536.499
0,1002.65,-621.51,3363.4
1,35.2377,-1254.05,-538.572
0,1008.11,-632.334,3389.76
1,23.0284,-1260.04,-540.672
0,1013.28,-643.274,3416.29
1,10.6744,-1265.71,-542.798
0,1018.17,-654.324,3442.97
1,-1.81633,-1271.06,-544.949
0,1022.76,-665.475,3469.83
1,-14.4355,-1276.07,-547.127
0,1027.06,-676.72,3496.85
1,-27.1749,-1280.75,-549.332
0,1031.07,-688.053,3524.04
1,-40.0262,-1285.1,-551.562
0,1034.78,-699.465,3551.4
1,-52.9809,-1289.1,-553.82
0,1038.19,-710.95,3578.93
1,-66.0307,-1292.76,-556.103
0,1041.3,-722.5,3606.63
1,-79.1668,-1296.07,-558.414
0,1044.11,-734.107,3634.51
1,-92.3808,-1299.04,-560.751
0,1046.61,-745.764,3662.56
1,-105.664,-1301.66,-563.116
0,1048.8,-757.463,3690.78
1,-119.007,-1303.93,-565.507
0,1050.69,-769.197,3719.19
1,-132.403,-1305.85,-567.926
0,1052.28,-780.958,3747.77
1,-145.841,-1307.41,-570.372
0,1053.55,-792.738,3776.53
1,-159.313,-1308.62,-572.845
0,1054.52,-804.529,3805.48
1,-172.811,-1309.47,-575.346
0,1055.17,-816.325,3834.6
1,-186.324,-1309.97,-577.875
0,1055.52,-828.116,3863.92
1,-199.846,-1310.11,-580.432
0,1055.56,-839.896,3893.41
1,-213.365,-1309.89,-583.016
0,1055.29,-851.657,3923.1
1,-226.875,-1309.32,-585.628
0,1054.71,-863.391,3952.97
1,-240.365,-1308.39,-588.269
0,1053.83,-875.09,3983.04
1,-253.827,-1307.1,-590.938
0,1052.63,-886.747,4013.29
1,-267.252,-1305.46,-593.635
0,1051.14,-898.354,4043.74
1,-280.632,-1303.47,-596.361
0,1049.33,-909.903,4074.38
1,-293.956,-1301.12,-599.116
0,1047.23,-921.387,4105.22
1,-307.217,-1298.42,-601.899
0,1044.82,-932.798,4136.26
1,-320.406,-1295.37,-604.711
0,1042.12,-944.129,4167.49
1,-333.513,-1291.97,-607.553
0,1039.11,-955.372,4198.93
1,-346.531,-1288.23,-610.423
0,1035.81,-966.52,4230.57
1,-359.451,-1284.14,-613.323
0,1032.22,-977.566,4262.41
1,-372.263,-1279.71,-616.252
0,1028.34,-988.501,4294.45
1,-384.96,-1274.94,-619.212
0,1024.17,-999.319,4326.71
1,-397.534,-1269.84,-622.2
0,1019.71,-1010.01,4359.17
1,-409.974,-1264.4,-625.219
0,1014.98,-1020.58,4391.84
1,-422.275,-1258.63,-628.268
0,1009.96,-1031,4424.72
1,-434.426,-1252.54,-631.347
0,1004.67,-1041.28,4457.81
1,-446.421,-1246.12,-634.457
0,999.111,-1051.41,4491.12
1,-458.25,-1239.39,-637.597
0,993.282,-1061.37,4524.65
1,-469.906,-1232.34,-640.767
0,987.19,-1071.17,4558.39
1,-481.382,-1224.98,-643.969
0,980.838,-1080.8,4592.35
1,-492.669,-1217.32,-647.201
0,974.231,-1090.26,4626.53
1,-503.76,-1209.35,-650.465
0,967.373,-1099.52,4660.94
1,-514.648,-1201.09,-653.759
0,960.269,-1108.6,4695.57
1,-525.324,-1192.54,-657.086
0,952.924,-1117.47,4730.42
1,-535.782,-1183.71,-660.443
0,945.343,-1126.15,4765.51
1,-546.015,-1174.59,-663.833
0,937.53,-1134.61,4800.82
1,-556.015,-1165.2,-667.255
0,929.491,-1142.86,4836.36
1,-565.777,-1155.54,-670.708
0,921.232,-1150.89,4872.14
1,-575.292,-1145.62,-674.194
0,912.757,-1158.69,4908.15
1,-584.555,-1135.44,-677.712
0,904.073,-1166.26,4944.39
1,-593.559,-1125.02,-681.263
0,895.185,-1173.59,4980.87
1,-602.298,-1114.34,-684.847
0,886.099,-1180.68,5017.6
1,-610.766,-1103.44,-688.464
0,876.821,-1187.53,5054.56
1,-618.957,-1092.3,-692.113
0,867.357,-1194.12,5091.77
1,-626.865,-1080.93,-695.796
0,857.714,-1200.46,5129.22
1,-634.485,-1069.36,-699.513
0,847.899,-1206.53,5166.92
1,-641.812,-1057.57,-703.263
0,837.916,-1212.34,5204.87
1,-648.839,-1045.58,-707.047
0,827.774,-1217.88,5243.07
1,-655.563,-1033.4,-710.865
0,817.479,-1223.15,5281.52
1,-661.977,-1021.03,-714.717
0,807.037,-1228.14,5320.22
1,-668.079,-1008.48,-718.604
0,796.456,-1232.85,5359.18
1,-673.863,-995.763,-722.525
0,785.742,-1237.28,5398.4
1,-679.324,-982.881,-726.481
0,774.903,-1241.42,5437.87
1,-684.46,-969.844,-730.471
0,763.946,-1245.27,5477.61
1,-689.265,-956.66,-734.497
0,752.878,-1248.82,5517.61
1,-693.737,-943.338,-738.558
0,741.706,-1252.08,5557.88
1,-697.872,-929.885,-742.655
0,730.439,-1255.04,5598.42
1,-701.666,-916.311,-746.788
