Particle,x,y,z
1,476.409,-1294.24,-6.46532e+31
0,1117.71,456.1,5.53557e+32
1,494.962,-1267.42,-6.49649e+31
0,1095.44,473.405,5.56225e+32
1,514.109,-1241.12,-6.52781e+31
0,1073.65,491.198,5.58907e+32
1,533.834,-1215.36,-6.55928e+31
0,1052.35,509.466,5.61601e+32
1,554.125,-1190.13,-6.5909e+31
0,1031.54,528.196,5.64309e+32
1,574.966,-1165.46,-6.62268e+31
0,1011.23,547.374,5.67029e+32
1,596.343,-1141.35,-6.6546e+31
0,991.442,566.988,5.69763e+32
1,618.241,-1117.83,-6.68669e+31
0,972.176,587.024,5.7251e+32
1,640.644,-1094.89,-6.71892e+31
0,953.442,607.468,5.7527e+32
1,663.537,-1072.55,-6.75131e+31
0,935.249,628.306,5.78043e+32
1,686.904,-1050.82,-6.78386e+31
0,917.605,649.525,5.8083e+32
1,710.729,-1029.71,-6.81657e+31
0,900.518,671.109,5.8363e+32
1,734.997,-1009.22,-6.84943e+31
0,883.994,693.046,5.86444e+32
1,759.691,-989.379,-6.88245e+31
0,868.041,715.32,5.89271e+32
1,784.795,-970.179,-6.91563e+31
0,852.665,737.917,5.92112e+32
1,810.291,-951.633,-6.94897e+31
0,837.873,760.822,5.94967e+32
1,836.164,-933.748,-6.98247e+31
0,823.67,784.02,5.97835e+32
1,862.397,-916.532,-7.01614e+31
0,810.061,807.496,6.00717e+32
1,888.971,-899.992,-7.04996e+31
0,797.052,831.235,6.03614e+32
1,915.871,-884.133,-7.08395e+31
0,784.648,855.223,6.06524e+32
1,943.079,-868.963,-7.1181e+31
0,772.852,879.444,6.09448e+32
1,970.578,-854.486,-7.15242e+31
0,761.669,903.882,6.12386e+32
1,998.35,-840.707,-7.1869e+31
0,751.102,928.523,6.15338e+32
1,1026.38,-827.632,-7.22155e+31
0,741.155,953.352,6.18305e+32
1,1054.64,-815.264,-7.25636e+31
0,731.83,978.352,6.21286e+32
1,1083.13,-803.608,-7.29135e+31
0,723.13,1003.51,6.24281e+32
1,1111.82,-792.666,-7.3265e+31
0,715.057,1028.81,6.2729e+32
1,1140.69,-782.442,-7.36182e+31
0,707.612,1054.23,6.30315e+32
1,1169.74,-772.938,-7.39731e+31
0,700.798,1079.76,6.33353e+32
1,1198.93,-764.156,-7.43298e+31
0,694.614,1105.39,6.36407e+32
1,1228.25,-756.098,-7.46881e+31
0,689.061,1131.1,6.39475e+32
1,1257.69,-748.765,-7.50482e+31
0,684.14,1156.87,6.42558e+32
1,1287.23,-742.158,-7.541e+31
0,679.85,1182.69,6.45656e+32
1,1316.84,-736.277,-7.57735e+31
0,676.191,1208.54,6.48768e+32
1,1346.52,-731.122,-7.61388e+31
0,673.163,1234.41,6.51896e+32
1,1376.24,-726.693,-7.65059e+31
0,670.763,1260.29,6.55039e+32
1,1405.98,-722.989,-7.68747e+31
0,668.99,1286.15,6.58197e+32
1,1435.74,-720.009,-7.72454e+31
0,667.842,1311.99,6.6137e+32
