Particle,x,y,z
0,580.989,2853.1,2.30683e+32
1,3239.19,-561.808,-2.70728e+31
0,617.665,2876.83,2.31795e+32
1,3267.88,-603.234,-2.72033e+31
0,654.811,2899.61,2.32913e+32
1,3295.5,-645.237,-2.73344e+31
0,692.404,2921.45,2.34036e+32
1,3322.04,-687.79,-2.74662e+31
0,730.419,2942.32,2.35164e+32
1,3347.48,-730.865,-2.75986e+31
0,768.833,2962.23,2.36298e+32
1,3371.82,-774.434,-2.77317e+31
0,807.621,2981.16,2.37437e+32
1,3395.06,-818.47,-2.78654e+31
0,846.759,2999.11,2.38582e+32
1,3417.17,-862.945,-2.79997e+31
0,886.222,3016.08,2.39732e+32
1,3438.16,-907.83,-2.81347e+31
0,925.986,3032.05,2.40887e+32
1,3458.01,-953.098,-2.82703e+31
0,966.026,3047.02,2.42049e+32
1,3476.73,-998.721,-2.84066e+31
0,1006.32,3061,2.43216e+32
1,3494.3,-1044.67,-2.85436e+31
0,1046.84,3073.96,2.44388e+32
1,3510.72,-1090.92,-2.86812e+31
0,1087.56,3085.93,2.45566e+32
1,3525.98,-1137.43,-2.88195e+31
0,1128.45,3096.88,2.4675e+32
1,3540.09,-1184.19,-2.89584e+31
0,1169.5,3106.82,2.4794e+32
1,3553.04,-1231.16,-2.9098e+31
0,1210.68,3115.76,2.49135e+32
1,3564.83,-1278.31,-2.92383e+31
0,1251.96,3123.68,2.50336e+32
1,3575.46,-1325.62,-2.93792e+31
0,1293.32,3130.58,2.51543e+32
1,3584.92,-1373.06,-2.95209e+31
0,1334.74,3136.48,2.52756e+32
1,3593.22,-1420.6,-2.96632e+31
0,1376.19,3141.37,2.53975e+32
1,3600.36,-1468.21,-2.98062e+31
0,1417.64,3145.25,2.55199e+32
1,3606.33,-1515.86,-2.99499e+31
0,1459.07,3148.13,2.56429e+32
1,3611.15,-1563.52,-3.00943e+31
0,1500.46,3150,2.57665e+32
1,3614.81,-1611.18,-3.02394e+31
0,1541.78,3150.88,2.58908e+32
1,3617.32,-1658.79,-3.03852e+31
0,1583.02,3150.76,2.60156e+32
1,3618.68,-1706.34,-3.05317e+31
0,1624.14,3149.66,2.6141e+32
1,3618.89,-1753.79,-3.06788e+31
0,1665.12,3147.57,2.6267e+32
1,3617.97,-1801.12,-3.08267e+31
0,1705.94,3144.5,2.63937e+32
1,3615.91,-1848.29,-3.09754e+31
0,1746.58,3140.46,2.65209e+32
1,3612.73,-1895.3,-3.11247e+31
0,1787.01,3135.46,2.66488e+32
1,3608.42,-1942.09,-3.12748e+31
0,1827.22,3129.51,2.67773e+32
1,3603.01,-1988.66,-3.14255e+31
0,1867.17,3122.6,2.69063e+32
1,3596.5,-2034.98,-3.1577e+31
0,1906.85,3114.75,2.70361e+32
1,3588.89,-2081.01,-3.17293e+31
0,1946.24,3105.98,2.71664e+32
1,3580.19,-2126.74,-3.18822e+31
0,1985.31,3096.28,2.72974e+32
1,3570.43,-2172.14,-3.20359e+31
0,2024.04,3085.67,2.7429e+32
1,3559.6,-2217.18,-3.21904e+31
0,2062.41,3074.16,2.75612e+32
1,3547.72,-2261.84,-3.23456e+31
0,2100.4,3061.76,2.76941e+32
1,3534.8,-2306.09,-3.25015e+31
0,2137.99,3048.49,2.78276e+32
1,3520.85,-2349.91,-3.26582e+31
0,2175.17,3034.34,2.79618e+32
1,3505.89,-2393.29,-3.28157e+31
0,2211.9,3019.35,2.80966e+32
1,3489.93,-2436.18,-3.29739e+31
0,2248.18,3003.51,2.8232e+32
1,3472.99,-2478.58,-3.31328e+31
0,2283.98,2986.85,2.83681e+32
1,3455.07,-2520.46,-3.32926e+31
0,2319.28,2969.37,2.85049e+32
1,3436.19,-2561.79,-3.34531e+31
0,2354.07,2951.09,2.86423e+32
